Instances,feature_age,feature_job,feature_marital,feature_education,feature_default,feature_balance,feature_housing,feature_loan,feature_contact,feature_day,feature_month,feature_duration,feature_campaign,feature_pdays,feature_previous,feature_poutcome,algo_MLPC
instance_0,0,8,0,0,0,31,0,0,0,30,0,39,27,52,3,2,0
instance_0,0,6,1,2,0,93,0,0,1,7,6,2,19,70,15,0,0
instance_0,0,8,1,2,0,95,0,0,1,8,5,34,44,58,54,2,0
instance_0,0,9,0,1,0,52,0,0,1,12,1,46,6,34,56,1,0
instance_0,0,4,0,1,0,19,0,0,1,27,8,39,35,27,55,0,0
instance_0,0,5,0,0,0,43,0,0,1,18,8,31,18,48,21,0,0
instance_0,0,5,1,1,0,-8,0,0,1,26,1,10,34,57,48,2,0
instance_0,0,3,1,2,0,49,0,0,0,16,2,23,11,17,36,0,0
instance_0,0,9,1,1,0,30,0,0,1,24,6,5,17,52,41,0,0
instance_0,0,4,0,1,0,82,0,0,0,27,1,6,7,73,42,2,0
instance_0,0,3,0,2,0,24,0,0,0,12,8,0,52,67,8,2,0
instance_0,0,6,1,1,0,68,0,0,1,22,7,1,24,11,39,1,0
instance_0,0,6,0,2,0,91,0,0,1,30,7,13,7,64,4,0,0
instance_0,0,7,1,3,0,-9,0,1,0,1,0,0,38,36,0,0,0
instance_0,0,5,0,1,0,37,0,0,0,21,3,1,28,46,12,0,0
instance_0,0,9,1,0,0,87,0,0,0,9,6,1,39,69,1,1,0
instance_0,0,4,0,1,0,35,0,0,1,18,6,3,32,85,26,2,0
instance_0,0,4,0,1,0,66,0,0,1,27,4,36,59,56,54,1,0
instance_0,0,5,1,0,0,16,0,0,1,16,6,10,23,37,31,0,0
instance_0,0,0,1,0,0,39,0,0,1,22,3,18,29,46,48,2,0
instance_0,0,7,1,2,0,52,0,0,0,22,4,26,16,58,41,2,0
instance_0,0,9,0,2,0,7,0,0,1,15,9,1,61,62,2,2,0
instance_0,0,10,0,0,0,9,0,0,0,9,8,0,52,2,2,2,0
instance_0,0,3,0,1,0,9,0,0,1,3,3,1,47,74,10,1,0
instance_0,0,9,0,0,0,62,0,0,1,17,3,32,8,48,36,0,0
instance_0,0,10,1,1,0,63,0,0,1,26,7,31,9,84,33,1,0
instance_0,0,2,0,0,0,13,0,0,1,2,10,1,22,26,34,1,0
instance_0,0,10,0,1,0,35,0,0,1,27,0,27,35,49,45,0,0
instance_0,0,3,1,0,0,28,0,0,0,26,1,1,36,60,55,1,0
instance_0,0,7,0,2,0,13,0,0,1,9,0,3,25,8,44,2,0
instance_0,0,10,0,2,0,23,0,0,1,27,5,35,7,29,22,0,0
instance_0,0,2,1,0,0,56,0,0,1,24,8,17,50,18,50,1,0
instance_0,0,8,0,0,0,35,0,0,0,27,7,29,33,26,5,1,0
instance_0,0,8,1,0,0,31,0,0,0,3,5,19,44,73,31,2,0
instance_0,0,1,0,0,0,24,0,0,1,8,6,44,37,82,24,2,0
instance_0,0,4,1,1,0,50,0,0,1,6,2,1,13,20,40,2,0
instance_0,0,4,0,1,0,-4,0,0,0,8,6,1,25,40,20,1,0
instance_0,0,4,0,1,0,30,0,0,1,23,1,21,1,7,35,2,0
instance_0,0,8,1,1,0,97,0,0,1,3,3,0,21,14,43,0,0
instance_0,0,9,1,0,0,66,0,0,0,9,0,1,53,44,42,0,0
instance_0,0,10,0,1,0,100,0,0,0,3,8,2,35,72,22,2,0
instance_0,0,11,0,2,0,74,0,1,2,6,10,41,44,72,41,2,0
instance_0,0,0,1,2,0,66,0,0,0,7,5,23,11,57,15,1,0
instance_0,0,4,0,0,0,8,0,0,0,3,1,45,39,56,50,2,0
instance_0,0,2,0,0,0,49,0,0,1,23,8,18,54,64,25,1,0
instance_0,0,6,0,2,0,75,0,0,0,8,0,1,9,58,29,0,0
instance_0,0,6,0,1,0,86,0,0,1,9,2,1,17,25,19,2,0
instance_0,0,9,0,0,0,82,0,0,1,20,10,1,33,67,4,0,0
instance_0,0,1,1,0,0,61,0,0,0,12,9,20,6,39,19,0,0
instance_0,0,9,0,0,0,11,0,0,0,14,4,39,27,41,11,2,0
instance_0,0,9,0,1,0,15,0,0,1,30,8,0,54,8,39,1,0
instance_0,0,1,0,2,0,86,0,0,0,2,0,1,18,38,10,2,0
instance_0,0,9,0,1,0,82,0,0,1,18,3,20,19,86,10,1,0
instance_0,0,9,1,0,0,20,0,0,0,27,8,1,45,8,3,0,0
instance_0,0,4,0,0,0,9,0,0,0,14,0,1,46,61,21,1,0
instance_0,0,0,1,0,0,96,0,0,1,29,6,44,39,64,43,2,0
instance_0,0,8,0,0,0,21,0,0,1,11,4,24,28,26,27,1,0
instance_0,0,9,0,2,0,27,0,0,0,5,6,9,57,50,19,2,0
instance_0,0,7,0,1,0,-6,0,0,1,18,9,7,43,76,22,2,0
instance_0,0,6,1,1,0,100,0,0,0,10,7,48,44,77,51,1,0
instance_0,0,9,0,2,0,-7,0,0,1,13,3,29,23,79,11,1,0
instance_0,0,3,1,1,0,65,0,0,0,19,10,2,2,35,31,2,0
instance_0,0,10,1,1,0,73,0,0,0,7,5,31,22,78,29,0,0
instance_0,0,3,0,0,0,19,0,0,0,6,8,1,6,11,37,1,0
instance_0,0,0,1,1,0,95,0,0,0,30,0,45,62,64,47,2,0
instance_0,0,4,0,0,0,26,0,0,1,18,1,41,20,62,52,2,0
instance_0,0,8,0,1,0,83,0,0,0,3,6,0,32,21,44,1,0
instance_0,0,3,1,1,0,29,0,0,1,19,5,14,36,4,34,1,0
instance_0,0,3,1,0,0,97,0,0,0,3,4,1,3,24,31,0,0
instance_0,0,5,1,2,0,53,0,0,0,10,4,5,11,60,25,2,0
instance_0,0,0,1,2,0,52,0,0,1,14,2,1,46,5,29,2,0
instance_0,0,8,1,1,0,39,0,0,1,4,0,1,3,68,40,0,0
instance_0,0,5,1,0,0,53,0,0,1,29,7,0,50,76,9,0,0
instance_0,0,6,1,1,0,50,0,0,1,10,5,4,40,43,4,2,0
instance_0,0,10,0,0,0,99,0,0,1,12,0,23,22,56,40,1,0
instance_0,0,2,1,1,0,15,0,0,1,28,9,29,46,37,49,2,0
instance_0,0,1,1,0,0,15,0,0,1,24,4,17,62,4,5,0,0
instance_0,0,10,0,1,0,68,0,0,1,26,4,1,19,3,52,1,0
instance_0,0,2,1,1,0,58,0,0,0,8,5,26,48,36,4,0,0
instance_0,0,0,0,1,0,84,0,0,1,8,6,43,54,41,7,2,0
instance_0,0,8,1,2,0,86,0,0,0,8,7,1,12,26,1,1,0
instance_0,0,5,0,0,0,9,0,0,0,27,5,32,12,75,35,1,0
instance_0,0,0,1,2,0,23,0,0,1,15,2,24,4,15,15,1,0
instance_0,0,7,1,0,0,63,0,0,1,7,0,1,4,35,32,2,0
instance_0,0,4,1,2,0,95,0,0,1,26,8,46,38,52,36,0,0
instance_0,0,9,1,2,0,72,0,0,1,29,6,1,16,12,28,2,0
instance_0,0,4,0,1,0,70,0,0,0,16,1,28,24,1,29,1,0
instance_0,0,9,1,0,0,88,0,0,0,12,2,12,2,46,26,2,0
instance_0,0,0,1,0,0,40,0,0,1,19,6,1,33,45,15,1,0
instance_0,0,0,1,2,0,84,0,0,0,20,7,1,7,45,17,0,0
instance_0,0,2,1,0,0,68,0,0,0,26,4,16,55,58,4,2,0
instance_0,0,4,1,2,0,56,0,0,1,27,4,35,5,61,28,2,0
instance_0,0,6,0,1,0,46,0,0,0,10,6,0,40,2,2,2,0
instance_0,0,2,1,1,0,52,0,0,0,28,2,1,14,9,4,2,0
instance_0,0,1,0,0,0,16,0,0,0,30,4,1,9,40,24,2,0
instance_0,0,7,0,0,0,36,0,0,1,23,2,10,33,11,48,2,0
instance_0,0,8,1,0,0,38,0,0,1,25,8,30,8,55,4,1,0
instance_0,0,10,0,0,0,56,0,0,1,7,9,17,17,29,34,2,0
instance_0,0,6,0,0,0,54,0,0,0,21,2,1,27,74,55,0,0
instance_0,0,3,0,2,0,58,0,0,1,10,10,1,36,46,14,2,0
instance_0,0,6,0,1,0,86,0,0,0,23,3,20,58,82,38,2,0
instance_0,0,7,1,0,0,48,0,0,0,15,0,1,13,79,3,1,0
instance_0,0,2,1,0,0,59,0,0,1,5,0,1,57,40,8,2,0
instance_0,0,0,1,2,0,44,0,0,1,22,8,41,29,46,37,2,0
instance_0,0,0,1,2,0,55,0,0,0,11,9,9,42,59,46,2,0
instance_0,0,7,0,1,0,59,0,0,0,9,3,1,20,35,57,1,0
instance_0,0,0,0,2,0,1,0,0,1,2,1,14,7,83,4,0,0
instance_0,0,4,1,1,0,55,0,0,1,8,5,17,31,83,1,2,0
instance_0,0,3,0,2,0,-4,0,0,0,9,5,9,10,23,4,2,0
instance_0,0,6,0,2,0,31,0,0,0,7,4,7,52,64,39,2,0
instance_0,0,10,1,1,0,0,0,0,1,26,5,0,36,26,5,2,0
instance_0,0,8,0,1,0,63,0,0,0,6,3,1,17,3,28,2,0
instance_0,0,5,1,1,0,22,0,0,0,10,2,4,51,51,20,2,0
instance_0,0,4,1,2,0,83,0,0,1,27,4,35,56,75,26,1,0
instance_0,0,1,0,0,0,5,0,0,0,4,1,13,29,13,7,0,0
instance_0,0,2,0,1,0,23,0,0,0,3,10,1,36,69,35,0,0
instance_0,0,5,0,0,0,45,0,0,1,26,7,47,9,82,22,2,0
instance_0,0,6,1,2,0,-8,0,0,1,19,6,10,56,76,32,2,0
instance_0,0,9,1,0,0,39,0,0,1,16,5,14,7,48,34,2,0
instance_0,0,0,0,0,0,41,0,0,1,30,8,14,53,3,3,0,0
instance_0,0,9,0,1,0,70,0,0,0,11,3,1,44,73,40,0,0
instance_0,0,3,0,0,0,82,0,0,0,21,6,1,61,24,26,0,0
instance_0,0,0,0,1,0,70,0,0,1,23,3,45,53,28,33,2,0
instance_0,0,8,1,0,0,8,0,0,1,29,7,4,53,73,31,0,0
instance_0,0,10,0,1,0,-4,0,0,1,23,0,14,37,26,1,0,0
instance_0,0,6,0,1,0,83,0,0,0,3,5,8,55,67,37,2,0
instance_0,0,4,1,0,0,20,0,0,0,27,1,1,48,62,10,1,0
instance_0,0,10,1,2,0,33,0,0,1,29,6,43,11,82,38,2,0
instance_0,0,10,1,1,0,37,0,0,0,22,2,34,57,30,52,2,0
instance_0,0,5,0,0,0,96,0,0,0,19,10,1,3,23,13,2,0
instance_0,0,9,1,0,0,16,0,0,1,8,6,27,35,45,26,1,0
instance_0,0,6,1,0,0,50,0,0,1,20,6,5,32,20,50,2,0
instance_0,0,10,0,0,0,90,0,0,1,18,5,35,52,72,2,2,0
instance_0,0,4,1,3,0,42,1,0,1,13,6,25,26,50,45,3,0
instance_0,0,6,1,2,0,99,0,0,1,23,8,45,55,52,5,1,0
instance_0,0,8,0,0,0,0,0,0,1,25,4,15,30,13,44,2,0
instance_0,0,2,1,0,0,97,0,0,1,13,6,43,17,0,43,0,0
instance_0,0,10,1,2,0,34,0,0,1,11,0,5,17,59,41,1,0
instance_0,0,7,1,0,0,71,0,0,0,28,6,4,62,53,2,2,0
instance_0,0,7,0,2,0,65,0,0,0,20,9,47,35,22,54,1,0
instance_0,0,7,0,0,0,39,0,0,0,26,10,1,27,40,33,2,0
instance_0,0,8,0,0,0,95,0,0,0,29,5,34,33,33,43,2,0
instance_0,0,6,0,2,0,52,0,0,1,29,3,43,23,64,10,2,0
instance_0,0,10,1,1,0,70,0,0,1,8,0,1,59,38,15,2,0
instance_0,0,1,0,0,0,17,0,0,1,26,6,10,38,69,32,2,0
instance_0,0,8,0,1,0,51,0,0,1,16,6,33,39,47,56,2,0
instance_0,0,5,0,2,0,47,0,0,1,28,3,45,13,61,27,2,0
instance_0,0,9,0,2,0,1,0,0,1,4,7,1,8,33,54,2,0
instance_0,0,10,0,2,0,40,0,0,1,5,0,1,40,48,28,1,0
instance_0,0,4,0,0,0,59,0,0,0,18,0,24,4,62,34,2,0
instance_0,0,2,1,2,0,50,0,0,1,2,6,1,34,5,57,0,0
instance_0,0,5,0,2,0,54,0,0,1,11,6,16,23,77,49,1,0
instance_0,0,5,0,2,0,81,0,0,0,1,9,36,18,61,17,2,0
instance_0,0,1,0,1,0,53,0,0,0,27,7,1,37,81,9,1,0
instance_0,0,9,0,2,0,25,0,0,0,26,2,30,52,30,47,2,0
instance_0,0,1,1,2,0,23,0,0,1,22,8,42,10,33,57,2,0
instance_0,0,7,1,1,0,59,0,0,0,15,6,33,38,56,4,2,0
instance_0,0,6,0,1,0,68,0,0,1,14,4,47,13,19,30,2,0
instance_0,0,2,1,2,0,63,0,0,1,14,6,28,9,51,57,1,0
instance_0,0,6,0,2,0,-8,0,0,1,30,10,1,29,64,39,2,0
instance_0,0,2,0,1,0,61,0,0,1,21,2,35,31,7,20,0,0
instance_0,0,2,1,0,0,92,0,0,0,7,2,48,41,16,39,0,0
instance_0,0,8,1,0,0,54,0,0,1,18,5,1,2,80,10,1,0
instance_0,0,6,1,2,0,42,0,0,1,20,8,0,48,9,13,1,0
instance_0,0,2,1,0,0,19,0,0,0,2,7,0,34,34,18,1,0
instance_0,0,3,1,0,0,47,0,0,1,14,6,1,10,8,43,1,0
instance_0,0,1,0,0,0,14,0,0,1,12,6,35,29,32,40,2,0
instance_0,0,9,0,0,0,62,0,0,1,5,1,1,40,43,36,0,0
instance_0,0,9,1,0,0,-6,0,0,0,27,10,1,46,56,41,2,0
instance_0,0,9,0,0,0,86,0,0,1,22,9,4,55,60,9,1,0
instance_0,0,1,0,2,0,67,0,0,0,26,5,1,32,28,41,2,0
instance_0,0,4,1,1,0,24,0,0,0,21,3,1,3,37,38,0,0
instance_0,0,2,1,2,0,101,0,0,1,23,3,1,12,8,34,2,0
instance_0,0,2,0,2,0,70,0,0,1,23,3,41,14,27,33,1,0
instance_0,0,0,0,2,0,44,0,0,0,11,3,1,50,51,1,0,0
instance_0,0,8,1,1,0,78,0,0,0,10,3,1,52,73,31,0,0
instance_0,0,3,1,0,0,37,0,0,1,30,6,15,61,31,43,2,0
instance_0,0,7,1,0,0,14,0,0,0,10,4,1,62,13,21,1,0
instance_0,0,4,0,2,0,-7,0,0,0,10,0,33,4,1,34,1,0
instance_0,0,3,0,1,0,36,0,0,0,21,6,18,52,29,42,2,0
instance_0,0,9,1,2,0,5,0,0,0,21,6,4,17,13,17,2,0
instance_0,0,4,1,0,0,99,0,0,1,1,8,0,43,2,23,1,0
instance_0,0,10,1,0,0,37,0,0,1,18,3,0,22,78,29,0,0
instance_0,0,0,0,2,0,40,0,0,1,3,8,36,59,46,39,0,0
instance_0,0,9,0,0,0,98,0,0,1,8,4,15,56,68,31,0,0
instance_0,0,10,1,1,0,17,0,0,1,24,3,44,41,81,16,2,0
instance_0,0,9,1,0,0,55,0,0,1,5,3,34,8,68,7,2,0
instance_0,0,8,0,1,0,78,0,0,1,2,8,30,8,34,8,0,0
instance_0,0,2,0,0,0,75,0,0,0,6,7,1,42,74,19,2,0
instance_0,0,8,1,2,0,90,0,0,1,27,9,1,15,18,1,2,0
instance_0,0,9,1,2,0,54,0,0,0,11,6,47,52,29,48,2,0
instance_0,0,1,0,0,0,9,0,0,1,14,5,6,56,19,40,1,0
instance_0,0,10,0,1,0,87,0,0,0,19,3,1,21,46,32,0,0
instance_0,0,7,1,0,0,53,0,0,1,16,3,47,49,69,38,0,0
instance_0,0,3,1,1,0,81,0,0,1,30,4,36,14,71,35,2,0
instance_0,0,9,1,2,0,87,0,0,1,20,9,1,49,50,56,0,0
instance_0,0,3,0,1,0,38,0,0,0,26,6,1,48,49,43,0,0
instance_0,0,3,1,1,0,98,0,0,0,29,2,1,9,73,27,0,0
instance_0,0,2,0,0,0,40,0,0,0,5,4,0,60,48,52,0,0
instance_0,0,0,0,2,0,63,0,0,1,9,6,1,62,3,4,1,0
instance_0,0,3,1,2,0,71,0,0,1,13,5,1,31,2,23,2,0
instance_0,0,4,1,1,0,83,0,0,0,10,3,0,48,28,5,2,0
instance_0,0,8,1,1,0,101,0,0,1,11,8,48,44,34,4,2,0
instance_0,0,7,0,1,0,88,0,0,1,16,4,41,44,11,27,0,0
instance_0,0,10,1,0,0,15,0,0,1,1,9,12,4,58,13,0,0
instance_0,0,10,0,0,0,34,0,0,1,15,2,21,17,67,14,1,0
instance_0,0,6,1,2,0,97,0,0,1,23,8,32,54,48,56,2,0
instance_0,0,2,1,0,0,59,0,0,0,21,5,45,20,27,28,2,0
instance_0,0,6,1,0,0,45,0,0,0,12,7,27,48,86,42,0,0
instance_0,0,4,1,1,0,25,0,0,1,14,9,1,23,51,42,1,0
instance_0,0,5,0,0,0,8,0,0,1,4,8,1,25,26,19,0,0
instance_0,0,5,0,1,0,10,0,0,1,11,2,7,59,25,24,0,0
instance_0,0,0,1,1,0,70,0,0,0,22,3,1,52,36,18,1,0
instance_0,0,9,1,1,0,48,0,0,1,15,2,0,26,46,30,1,0
instance_0,0,7,0,1,0,88,0,0,0,6,4,43,17,48,7,2,0
instance_0,0,1,0,0,0,22,0,0,0,3,8,1,52,77,34,1,0
instance_0,0,0,0,0,0,66,0,0,0,27,4,1,52,43,29,2,0
instance_0,0,0,0,1,0,35,0,0,0,2,8,1,38,47,32,2,0
instance_0,0,7,1,0,0,6,0,0,0,26,0,23,53,56,5,2,0
instance_0,0,7,1,2,0,4,0,0,0,14,5,1,47,55,10,1,0
instance_0,0,10,1,2,0,88,0,0,1,30,4,41,52,24,9,2,0
instance_0,0,5,1,1,0,100,0,0,1,3,7,47,39,72,22,2,0
instance_0,0,8,1,1,0,65,0,0,0,9,0,25,9,20,27,0,0
instance_0,0,6,0,1,0,28,0,0,0,25,7,1,27,74,19,0,0
instance_0,0,0,0,1,0,24,0,0,0,26,2,2,25,55,8,2,0
instance_0,0,3,1,1,0,65,0,0,1,26,8,1,48,3,1,2,0
instance_0,0,6,1,1,0,-3,0,0,1,7,4,1,4,35,32,2,0
instance_0,0,4,0,0,0,96,0,0,0,3,3,44,44,8,24,2,0
instance_0,0,0,1,2,0,78,0,0,0,1,9,1,11,64,5,1,0
instance_0,0,2,0,1,0,100,0,0,0,29,2,1,37,48,21,1,0
instance_0,0,7,0,2,0,49,0,0,1,5,5,24,6,32,57,2,0
instance_0,0,8,1,1,0,65,0,0,0,20,2,38,42,11,24,2,0
instance_0,0,0,0,1,0,17,0,0,0,29,5,1,34,4,52,1,0
instance_0,0,5,1,1,0,97,0,0,1,25,5,27,9,84,15,2,0
instance_0,0,9,0,0,0,9,0,0,1,9,8,1,62,35,40,2,0
instance_0,0,7,1,0,0,59,0,0,1,7,5,44,49,14,4,1,0
instance_0,0,5,1,2,0,33,0,0,1,7,3,27,53,77,4,2,0
instance_0,0,1,0,2,0,51,0,0,1,8,7,32,62,77,9,1,0
instance_0,0,2,1,1,0,3,0,0,1,27,3,16,23,56,31,0,0
instance_0,0,8,1,1,0,92,0,0,1,10,4,15,19,43,10,1,0
instance_0,0,7,1,0,0,44,0,0,0,2,6,1,31,6,40,1,0
instance_0,0,1,1,2,0,95,0,0,0,27,7,1,52,83,39,2,0
instance_0,0,4,1,0,0,55,0,0,0,7,5,28,14,54,44,0,0
instance_0,0,7,1,0,0,23,0,0,1,22,3,5,52,47,48,1,0
instance_0,0,0,0,1,0,44,0,0,0,28,1,4,1,7,13,1,0
instance_0,0,10,0,1,0,93,0,0,1,23,3,19,8,51,26,0,0
instance_0,0,7,1,1,0,85,0,0,0,9,5,1,6,19,26,1,0
instance_0,0,0,1,1,0,83,0,0,1,10,7,16,17,75,8,1,0
instance_0,0,3,0,0,0,86,0,0,0,12,7,0,56,1,5,0,0
instance_0,0,1,1,2,0,76,0,0,1,28,1,0,10,51,4,1,0
instance_0,0,2,0,0,0,68,0,0,0,21,1,1,14,25,52,1,0
instance_0,0,9,0,2,0,91,0,0,1,18,9,0,38,3,8,2,0
instance_0,0,5,1,1,0,-8,0,0,0,12,2,0,47,52,39,1,0
instance_0,0,7,0,2,0,28,0,0,0,30,5,23,25,12,2,2,0
instance_0,0,10,1,2,0,40,0,0,1,23,5,34,37,26,1,0,0
instance_0,0,9,0,0,0,9,0,0,1,14,7,18,56,24,16,1,0
instance_0,0,9,1,0,0,17,0,0,1,13,3,14,58,51,46,2,0
instance_0,0,10,0,1,0,66,0,0,1,24,5,30,10,12,49,2,0
instance_0,0,2,0,1,0,50,0,0,0,20,8,1,12,73,3,1,0
instance_0,0,4,1,1,0,41,0,0,0,5,8,1,37,52,39,1,0
instance_0,0,7,0,1,0,84,0,0,0,30,7,1,54,51,6,1,0
instance_0,0,3,1,2,0,41,0,0,0,15,2,21,1,86,9,2,0
instance_0,0,7,0,1,0,43,0,0,0,17,4,1,52,18,36,1,0
instance_0,0,0,0,2,0,8,0,0,0,30,5,0,8,56,15,1,0
instance_0,0,7,1,0,0,96,0,0,1,3,5,33,57,78,24,2,0
instance_0,0,1,0,1,0,71,0,0,1,29,5,7,62,12,7,0,0
instance_0,0,5,0,1,0,25,0,0,0,16,5,3,12,31,35,1,0
instance_0,0,4,0,1,0,44,0,0,0,6,8,21,50,51,1,2,0
instance_0,0,9,1,2,0,56,0,0,1,18,3,21,3,39,6,2,0
instance_0,0,6,0,1,0,48,0,0,1,6,2,1,42,86,32,2,0
instance_0,0,8,0,2,0,27,0,0,1,12,6,1,7,6,45,0,0
instance_0,0,10,0,0,0,79,0,0,1,17,6,1,19,4,40,2,0
instance_0,0,7,1,2,0,86,0,0,1,30,9,1,61,77,46,0,0
instance_0,0,9,0,2,0,27,0,0,0,23,8,1,54,48,12,0,0
instance_0,0,4,0,1,0,51,0,0,1,14,8,29,38,81,44,2,0
instance_0,0,4,1,1,0,76,0,0,1,4,3,35,28,31,16,2,0
instance_0,0,10,1,1,0,96,0,0,0,19,9,44,36,65,25,2,0
instance_0,0,2,0,2,0,8,0,0,1,13,1,19,12,25,42,1,0
instance_0,0,2,0,1,0,77,0,0,0,20,6,1,58,12,18,1,0
instance_0,0,0,1,0,0,29,0,0,1,21,3,32,21,55,9,0,0
instance_0,0,1,0,2,0,35,0,0,1,3,1,4,8,85,51,0,0
instance_0,0,4,1,2,0,67,0,0,1,18,0,10,3,33,10,0,0
instance_0,0,5,1,2,0,61,0,0,1,3,5,38,36,62,38,2,0
instance_0,0,5,0,1,0,42,0,0,0,13,6,33,28,86,52,2,0
instance_0,0,9,1,1,0,92,0,0,1,13,3,1,55,5,11,2,0
instance_0,0,2,0,0,0,44,0,0,1,12,6,30,39,7,41,0,0
instance_0,0,10,1,1,0,41,0,0,1,30,6,10,59,63,1,0,0
instance_0,0,1,0,2,0,22,0,0,0,10,4,1,25,39,14,2,0
instance_0,0,0,0,1,0,31,0,0,1,16,10,1,27,81,34,2,0
instance_0,0,9,0,1,0,10,0,0,1,9,1,5,50,55,27,2,0
instance_0,0,9,0,0,0,14,0,0,0,14,7,0,20,33,27,1,0
instance_0,0,0,0,2,0,49,0,0,1,13,2,45,26,18,1,0,0
instance_0,0,2,0,1,0,55,0,0,0,27,4,1,39,80,3,1,0
instance_0,0,8,1,0,0,70,0,0,1,23,8,38,48,28,13,1,0
instance_0,0,4,1,0,0,85,0,0,1,26,1,47,49,50,36,1,0
instance_0,0,4,0,0,0,52,0,0,1,8,4,34,31,83,7,0,0
instance_0,0,2,1,2,0,47,0,0,1,23,2,43,4,18,10,0,0
instance_0,0,7,0,2,0,11,0,0,0,27,5,1,51,32,18,0,0
instance_0,0,1,0,1,0,46,0,0,0,4,7,9,15,61,8,1,0
instance_0,0,9,0,1,0,45,0,0,0,16,7,13,3,24,39,2,0
instance_0,0,3,0,1,0,68,0,0,0,24,1,1,34,29,47,1,0
instance_0,0,6,0,1,0,25,0,0,0,7,8,1,49,60,57,0,0
instance_0,0,5,1,0,0,76,0,0,0,5,3,4,8,77,16,0,0
instance_0,0,5,1,2,0,66,0,0,0,26,3,17,53,74,48,0,0
instance_0,0,0,0,1,0,53,0,0,1,27,0,11,41,11,38,2,0
instance_0,0,1,1,2,0,20,0,0,0,7,9,1,59,83,24,0,0
instance_0,0,3,1,2,0,95,0,0,0,24,5,32,25,52,47,1,0
instance_0,0,3,0,0,0,77,0,0,1,21,3,15,8,78,29,1,0
instance_0,0,10,1,0,0,43,0,0,1,30,4,2,23,83,7,0,0
instance_0,0,0,0,1,0,36,0,0,1,9,0,1,7,45,42,0,0
instance_0,0,2,1,2,0,100,0,0,0,16,2,29,15,17,37,2,0
instance_0,0,3,0,0,0,44,0,0,1,30,7,4,17,41,42,2,0
instance_0,0,7,1,2,0,56,0,0,1,10,3,15,12,74,7,1,0
instance_0,0,7,1,2,0,55,0,0,0,12,5,1,33,66,52,0,0
instance_0,0,3,0,0,0,44,0,0,1,30,9,31,24,40,26,2,0
instance_0,0,3,1,2,0,24,0,0,1,21,10,1,54,57,51,1,0
instance_0,0,5,1,1,0,29,0,0,0,28,8,1,23,68,46,0,0
instance_0,0,10,0,2,0,23,0,0,1,28,7,1,59,10,22,0,0
instance_0,0,4,1,0,0,7,0,0,1,16,10,1,57,74,29,0,0
instance_0,0,1,1,0,0,12,0,0,1,29,10,1,51,80,10,1,0
instance_0,0,4,0,1,0,22,0,0,1,14,8,15,20,35,18,2,0
instance_0,0,5,1,2,0,0,0,0,1,23,2,34,30,40,27,2,0
instance_0,0,9,1,0,0,15,0,0,1,28,3,23,29,34,27,0,0
instance_0,0,6,0,1,0,63,0,0,1,29,1,32,21,64,25,1,0
instance_0,0,3,1,0,0,90,0,0,1,19,8,24,14,34,49,2,0
instance_0,0,5,1,1,0,90,0,0,0,21,5,1,22,68,41,0,0
instance_0,0,5,0,0,0,54,0,0,1,30,2,0,1,2,24,1,0
instance_0,0,6,1,0,0,17,0,0,0,29,5,1,38,52,44,1,0
