Instances,feature_age,feature_job,feature_marital,feature_education,feature_default,feature_balance,feature_housing,feature_loan,feature_contact,feature_day,feature_month,feature_duration,feature_campaign,feature_pdays,feature_previous,feature_poutcome,algo_RF_unfair
instance_0,0,7,1,1,0,6,0,0,1,17,2,39,24,60,56,1,0
instance_0,0,6,0,1,0,61,0,0,1,19,2,6,26,86,41,0,0
instance_0,0,1,0,1,0,17,0,0,1,23,9,27,31,59,29,0,0
instance_0,0,4,1,2,0,89,0,0,0,20,1,20,9,65,36,2,0
instance_0,0,10,0,0,0,52,0,0,0,12,7,2,27,31,18,2,0
instance_0,0,4,0,1,0,57,0,0,0,20,8,13,2,13,16,1,0
instance_0,0,1,0,0,0,33,0,0,0,12,10,29,45,85,53,2,0
instance_0,0,10,1,2,0,89,0,0,1,29,10,21,50,22,7,2,0
instance_0,0,8,1,1,0,87,0,0,0,12,0,43,48,45,56,2,0
instance_0,0,8,0,0,0,84,0,0,1,26,0,17,45,23,32,0,0
instance_0,0,9,0,1,0,60,0,0,0,10,1,18,47,69,27,2,0
instance_0,0,9,1,0,0,50,0,0,1,15,7,20,21,13,2,2,0
instance_0,0,4,0,0,0,63,0,0,0,20,8,45,58,5,34,0,0
instance_0,0,7,0,2,0,76,0,0,0,17,3,44,22,38,29,0,0
instance_0,0,3,1,1,0,73,0,0,1,20,0,15,24,70,35,1,0
instance_0,0,1,0,2,0,12,0,0,0,22,5,21,14,-1,13,0,0
instance_0,0,7,0,0,0,95,0,0,1,18,0,5,5,45,32,2,0
instance_0,0,3,1,0,0,-7,0,0,0,7,8,10,52,14,18,2,0
instance_0,0,8,0,0,0,15,0,0,1,4,8,45,35,44,4,1,0
instance_0,0,7,1,2,0,99,0,0,0,23,2,9,25,46,9,1,0
instance_0,0,4,1,1,0,49,0,0,0,9,6,29,47,5,11,2,0
instance_0,0,7,0,2,0,39,0,0,1,8,3,33,61,8,33,1,0
instance_0,0,10,0,2,0,9,0,0,0,10,6,33,42,73,25,1,0
instance_0,0,1,1,2,0,6,0,0,1,17,3,14,48,70,57,0,0
instance_0,0,10,1,0,0,50,0,0,0,13,7,17,59,29,9,1,0
instance_0,0,3,0,2,0,57,0,0,0,21,4,11,44,60,37,2,0
instance_0,0,0,1,2,0,95,0,0,1,30,0,30,23,60,55,2,0
instance_0,0,3,1,0,0,91,0,0,0,18,7,14,9,55,32,2,0
instance_0,0,2,0,2,0,80,0,0,1,4,5,34,9,10,33,0,0
instance_0,0,9,0,1,0,7,0,0,0,19,4,36,33,31,51,2,0
instance_0,0,0,0,1,0,53,0,0,0,24,5,40,9,73,39,1,0
instance_0,0,0,1,0,0,91,0,0,1,15,0,45,36,21,30,1,0
instance_0,0,1,0,1,0,87,0,0,0,8,2,42,20,27,41,0,0
instance_0,0,2,0,2,0,37,0,0,1,24,1,0,17,30,2,2,0
instance_0,0,7,0,1,0,11,0,0,1,25,0,33,1,31,4,2,0
instance_0,0,8,1,1,0,95,0,0,0,30,5,21,48,45,50,2,0
instance_0,0,10,0,1,0,55,0,0,1,8,10,29,7,53,7,2,0
instance_0,0,2,0,2,0,68,0,0,1,8,2,48,13,31,56,0,0
instance_0,0,4,1,0,0,11,0,0,1,21,0,41,62,55,6,1,0
instance_0,0,4,0,1,0,88,0,0,1,9,9,15,12,49,14,2,0
instance_0,0,10,1,0,0,72,0,0,1,12,3,20,34,83,44,1,0
instance_0,0,0,1,1,0,76,0,0,0,7,9,11,28,21,7,0,0
instance_0,0,2,1,0,0,77,0,0,1,10,7,7,9,29,39,2,0
instance_0,0,8,0,1,0,9,0,0,0,4,2,27,4,41,13,2,0
instance_0,0,7,0,1,0,73,0,0,0,12,7,29,45,64,24,2,0
instance_0,0,10,0,2,0,50,0,0,0,13,7,34,36,70,16,2,0
instance_0,0,5,0,0,0,62,0,0,0,23,3,39,9,1,39,2,0
instance_0,0,6,1,0,0,76,0,0,1,17,0,8,56,16,31,2,0
instance_0,0,10,0,1,0,74,0,0,1,15,0,6,56,59,41,0,0
instance_0,0,7,0,2,0,43,0,0,1,19,5,43,54,54,20,2,0
instance_0,0,0,1,0,0,69,0,0,1,3,9,13,34,16,33,2,0
instance_0,0,4,0,1,0,45,0,0,0,15,0,14,44,53,16,2,0
instance_0,0,7,0,0,0,62,0,0,1,20,3,13,37,8,11,2,0
instance_0,0,3,1,0,0,97,0,0,0,20,8,13,15,25,16,1,0
instance_0,0,10,0,0,0,70,0,0,0,22,3,40,19,-1,37,2,0
instance_0,0,0,0,0,0,46,0,0,0,29,1,7,7,12,53,0,0
instance_0,0,8,1,1,0,25,0,0,0,8,8,32,57,3,8,2,0
instance_0,0,8,1,1,0,33,0,0,0,6,3,18,2,19,1,2,0
instance_0,0,8,0,2,0,87,0,0,0,27,4,34,22,47,49,2,0
instance_0,0,1,0,1,0,25,0,0,1,4,6,13,4,69,47,1,0
instance_0,0,1,0,1,0,63,0,0,1,19,0,6,34,43,41,0,0
instance_0,0,10,1,2,0,11,0,0,0,10,7,18,52,5,39,2,0
instance_0,0,1,0,2,0,-7,0,0,1,30,3,33,1,7,44,2,0
instance_0,0,10,0,1,0,-6,0,0,1,13,8,38,8,78,6,2,0
instance_0,0,10,0,2,0,-4,0,0,0,19,1,23,17,8,12,0,0
instance_0,0,8,0,0,0,40,0,0,1,28,10,30,54,26,4,2,0
instance_0,0,5,0,2,0,95,0,0,0,21,3,37,58,77,38,0,0
instance_0,0,6,1,2,0,64,0,0,0,21,3,45,40,44,21,1,0
instance_0,0,0,1,0,0,38,0,0,1,2,5,33,17,17,35,2,0
instance_0,0,2,1,2,0,67,0,0,0,19,2,41,18,31,12,0,0
instance_0,0,10,1,2,0,59,0,0,0,17,2,22,22,41,28,1,0
instance_0,0,8,0,0,0,32,0,0,1,29,0,18,61,61,11,1,0
instance_0,0,6,0,0,0,44,0,0,1,4,7,23,62,71,18,1,0
instance_0,0,2,1,1,0,44,0,0,0,8,4,48,22,31,45,2,0
instance_0,0,3,1,2,0,36,0,0,1,6,2,35,16,35,51,1,0
instance_0,0,10,1,0,0,6,0,0,1,5,0,11,20,52,24,0,0
instance_0,0,7,1,0,0,52,0,0,0,4,4,6,33,31,54,2,0
instance_0,0,0,0,2,0,92,0,0,0,16,1,19,2,65,46,2,0
instance_0,0,9,0,1,0,86,0,0,0,18,3,23,45,17,1,2,0
instance_0,0,8,1,1,0,-3,0,0,0,5,9,40,20,54,56,2,0
instance_0,0,10,0,2,0,24,0,0,1,17,3,16,4,71,52,2,0
instance_0,0,7,0,1,0,10,0,0,1,1,7,41,32,54,31,2,0
instance_0,0,2,0,0,0,89,0,0,0,23,5,27,4,16,17,2,0
instance_0,0,3,0,2,0,101,0,0,0,10,0,18,51,52,5,2,0
instance_0,0,9,1,1,0,52,0,0,0,12,6,29,55,38,48,2,0
instance_0,0,4,1,0,0,37,0,0,0,21,9,41,51,8,26,2,0
instance_0,0,9,1,0,0,33,0,0,0,21,4,39,22,20,30,2,0
instance_0,0,3,1,0,0,87,0,0,0,9,9,3,62,71,2,2,0
instance_0,0,8,0,2,0,80,0,0,0,22,0,30,41,27,56,1,0
instance_0,0,3,0,1,0,95,0,0,1,10,10,2,59,27,10,0,0
instance_0,0,10,1,2,0,65,0,0,0,1,5,34,30,16,22,2,0
instance_0,0,0,1,2,0,-6,0,0,1,11,1,33,18,9,7,2,0
instance_0,0,9,0,0,0,77,0,0,0,5,0,40,7,12,10,0,0
instance_0,0,10,0,0,0,-4,0,0,1,26,7,33,45,6,12,2,0
instance_0,0,3,1,2,0,34,0,0,1,11,1,42,48,77,3,2,0
instance_0,0,8,0,2,0,98,0,0,0,27,10,31,12,50,54,2,0
instance_0,0,1,0,0,0,10,0,0,2,25,0,13,21,3,47,2,0
instance_0,0,1,0,2,0,22,0,0,0,18,3,24,6,79,52,1,0
instance_0,0,10,0,2,0,47,0,0,0,4,7,26,30,5,4,2,0
instance_0,0,0,1,0,0,66,0,0,0,7,9,13,34,16,33,2,0
instance_0,0,10,0,2,0,76,0,0,1,29,5,48,19,37,29,0,0
instance_0,0,7,1,1,0,56,0,0,0,18,0,9,19,20,44,1,0
instance_0,0,0,1,0,0,97,0,0,0,1,2,25,44,20,48,0,0
instance_0,0,3,1,2,0,68,0,0,1,30,0,32,35,14,24,2,0
instance_0,0,2,1,2,0,45,0,0,1,24,0,11,61,11,51,1,0
instance_0,0,8,0,0,0,89,0,0,1,30,3,0,26,7,52,2,0
instance_0,0,8,1,0,0,86,0,0,0,27,1,12,48,14,44,2,0
instance_0,0,6,1,2,0,89,0,0,1,3,0,45,15,61,37,0,0
instance_0,0,0,0,0,0,0,0,0,1,10,8,9,24,69,17,2,0
instance_0,0,10,0,1,0,43,0,0,0,22,10,7,42,52,5,2,0
instance_0,0,2,1,1,0,-6,0,0,0,25,7,4,54,21,56,2,0
instance_0,0,7,1,2,0,26,0,0,0,26,7,19,27,39,27,0,0
instance_0,0,6,0,1,0,61,0,0,0,5,0,32,3,1,28,1,0
instance_0,0,8,1,0,0,61,0,0,1,3,3,19,11,50,25,2,0
instance_0,0,1,0,0,0,57,0,0,0,10,8,5,39,54,24,2,0
instance_0,0,6,1,2,0,63,0,0,0,19,4,23,57,85,42,2,0
instance_0,0,10,1,2,0,76,0,0,1,18,1,26,37,53,52,1,0
instance_0,0,7,0,0,0,82,0,0,1,18,1,23,10,20,37,1,0
instance_0,0,9,1,1,0,64,0,0,0,29,0,12,32,70,44,2,0
instance_0,0,6,0,1,0,58,0,0,1,14,6,45,35,65,12,0,0
instance_0,0,1,1,2,0,-2,0,0,0,11,1,19,25,31,22,2,0
instance_0,0,10,1,0,0,59,0,0,0,10,0,18,32,12,57,0,0
instance_0,0,2,0,0,0,80,0,0,0,13,2,37,32,18,25,1,0
instance_0,0,10,0,2,0,66,0,0,0,12,6,28,32,46,12,0,0
instance_0,0,7,1,2,0,87,0,0,1,9,5,6,62,31,40,0,0
instance_0,0,5,0,1,0,33,0,0,1,15,9,44,3,28,43,1,0
instance_0,0,4,1,0,0,62,0,0,1,30,8,33,32,65,57,0,0
instance_0,0,4,1,0,0,-5,0,0,0,21,4,33,58,27,10,0,0
instance_0,0,4,1,1,0,-4,0,0,0,13,0,13,45,2,9,1,0
instance_0,0,0,1,0,0,36,0,0,0,12,6,3,40,68,50,2,0
instance_0,0,0,0,0,0,-1,0,0,0,25,0,30,1,35,43,2,0
instance_0,0,2,1,1,0,66,0,0,1,21,9,33,49,40,56,0,0
instance_0,0,3,1,1,0,71,0,0,0,20,1,28,45,33,34,1,0
instance_0,0,10,1,2,0,68,0,0,0,3,3,3,36,60,15,2,0
instance_0,0,9,1,1,0,78,0,0,1,27,8,22,9,24,45,0,0
instance_0,0,3,1,1,0,50,0,0,1,19,4,43,36,80,57,2,0
instance_0,0,5,0,1,0,45,0,0,0,7,10,46,47,5,9,2,0
instance_0,0,3,1,1,0,56,0,0,0,18,0,4,60,61,12,0,0
instance_0,0,6,1,1,0,16,0,0,0,17,7,0,21,47,40,0,0
instance_0,0,8,1,1,0,95,0,0,0,26,0,36,61,78,10,2,0
instance_0,0,3,0,0,0,86,0,0,1,1,1,5,22,75,9,0,0
instance_0,0,1,0,2,0,62,0,0,0,1,0,23,34,69,51,2,0
instance_0,0,1,0,0,0,92,0,0,2,5,10,12,1,40,20,1,0
instance_0,0,8,1,0,0,36,0,0,0,6,7,16,6,86,37,2,0
instance_0,0,0,0,1,0,58,0,0,0,7,6,12,51,2,39,0,0
instance_0,0,4,0,2,0,47,0,0,0,3,9,17,50,3,30,2,0
instance_0,0,2,1,2,0,38,0,0,1,6,5,4,50,69,32,2,0
instance_0,0,10,1,0,0,66,0,0,1,1,0,22,50,12,16,0,0
instance_0,0,8,0,0,0,-9,0,0,1,7,2,20,7,2,34,1,0
instance_0,0,2,0,2,0,45,0,0,1,18,1,20,42,65,46,1,0
instance_0,0,2,0,0,0,1,0,0,0,1,2,20,22,4,22,0,0
instance_0,0,6,0,2,0,75,0,0,0,23,7,21,21,27,57,0,0
instance_0,0,9,1,2,0,62,0,0,1,8,0,2,45,15,32,1,0
instance_0,0,3,0,0,0,63,0,0,0,7,3,45,54,17,21,2,0
instance_0,0,2,0,0,0,11,0,0,0,19,8,25,18,16,34,2,0
instance_0,0,0,1,1,0,36,0,0,1,4,1,36,24,77,29,1,0
instance_0,0,10,1,1,0,69,0,0,0,29,4,4,47,20,52,0,0
instance_0,0,7,1,2,0,95,0,0,0,7,9,37,58,77,43,0,0
instance_0,0,2,1,2,0,58,0,0,1,13,0,24,32,34,20,0,0
instance_0,0,4,0,0,0,11,0,0,0,20,4,18,40,61,5,2,0
instance_0,0,7,0,0,0,84,0,0,0,20,8,17,18,6,34,1,0
instance_0,0,3,1,1,0,73,0,0,1,9,7,8,16,70,25,0,0
instance_0,0,2,1,1,0,58,0,0,1,19,6,24,32,34,20,0,0
instance_0,0,10,0,1,0,37,0,0,0,10,3,4,38,9,22,1,0
instance_0,0,0,1,0,0,25,0,0,0,11,0,34,28,80,18,0,0
instance_0,0,6,1,1,0,14,0,0,1,20,8,13,23,24,5,2,0
instance_0,0,2,0,2,0,41,0,0,0,11,0,4,22,8,0,0,0
instance_0,0,8,1,2,0,45,0,0,0,19,0,3,22,33,51,2,0
instance_0,0,3,0,1,0,41,0,0,1,28,4,9,15,44,28,2,0
instance_0,0,2,0,1,0,63,0,0,0,29,1,26,9,23,10,0,0
instance_0,0,6,0,2,0,38,0,0,1,18,5,18,16,24,9,2,0
instance_0,0,0,0,0,0,83,0,0,1,17,3,4,31,44,25,1,0
instance_0,0,9,0,2,0,77,0,0,0,26,2,17,33,1,40,2,0
instance_0,0,5,0,2,0,84,0,0,1,15,2,42,2,16,12,2,0
instance_0,0,0,1,0,0,81,0,0,0,19,7,0,45,48,48,2,0
instance_0,0,8,1,1,0,48,0,0,0,9,0,13,17,69,17,2,0
instance_0,0,0,1,2,0,9,0,0,1,24,9,42,13,82,19,0,0
instance_0,0,8,0,1,0,69,0,0,0,8,2,27,2,41,42,2,0
instance_0,0,8,1,0,0,43,0,0,0,12,1,19,5,19,23,2,0
instance_0,0,8,0,2,0,101,0,0,0,21,9,29,19,57,43,0,0
instance_0,0,0,0,1,0,18,0,0,0,27,1,16,30,5,37,1,0
instance_0,0,6,0,1,0,21,0,0,1,25,1,11,62,74,28,2,0
instance_0,0,8,0,0,0,39,0,0,0,21,10,19,31,45,43,0,0
instance_0,0,3,1,1,0,91,0,0,0,28,3,45,21,43,18,2,0
instance_0,0,1,1,2,0,63,0,0,1,21,5,23,16,81,4,2,0
instance_0,0,1,1,2,0,55,0,0,1,6,0,42,29,49,49,2,0
instance_0,0,8,1,2,0,74,0,0,0,18,7,20,33,39,52,2,0
instance_0,0,1,0,0,0,70,0,0,0,4,3,33,4,23,53,2,0
instance_0,0,0,1,0,0,68,0,0,0,14,1,28,32,43,46,0,0
instance_0,0,10,1,0,0,101,0,0,0,18,0,1,18,24,2,2,0
instance_0,0,8,1,2,0,77,0,0,1,25,10,41,54,29,27,2,0
instance_0,0,3,1,2,0,3,0,0,1,23,7,3,5,60,15,2,0
instance_0,0,10,1,2,0,-3,0,0,1,9,9,17,6,38,18,2,0
instance_0,0,1,0,2,0,2,0,0,0,6,7,16,18,13,51,0,0
instance_0,0,9,0,2,0,5,0,0,1,11,1,32,8,61,21,1,0
instance_0,0,3,0,0,0,101,0,0,1,17,9,25,45,36,35,2,0
instance_0,0,9,0,2,0,76,0,0,0,24,1,19,14,12,51,0,0
instance_0,0,0,1,0,0,3,0,0,0,30,5,8,3,13,29,2,0
instance_0,0,3,1,1,0,52,0,0,0,21,10,29,8,69,51,2,0
instance_0,0,5,0,2,0,18,0,0,1,18,10,33,24,77,32,2,0
instance_0,0,9,0,0,0,59,0,0,0,25,9,38,55,24,33,1,0
instance_0,0,0,1,0,0,-4,0,0,1,20,0,10,57,15,37,0,0
instance_0,0,7,0,0,0,28,0,0,0,7,7,18,44,9,3,0,0
instance_0,0,0,1,1,0,83,0,0,1,16,0,47,55,23,1,1,0
instance_0,0,0,1,0,0,24,0,0,0,18,7,27,21,5,50,2,0
instance_0,0,9,0,2,0,53,0,0,0,19,7,16,10,45,32,2,0
instance_0,0,4,1,0,0,7,0,0,0,13,0,20,24,1,42,2,0
instance_0,0,2,0,2,0,49,0,0,1,6,2,14,4,48,16,1,0
instance_0,0,1,1,2,0,48,0,0,1,24,8,37,25,24,44,1,0
instance_0,0,9,0,0,0,80,0,0,0,7,1,1,19,57,25,0,0
instance_0,0,10,0,0,0,79,0,0,0,12,10,41,33,-1,2,2,0
instance_0,0,0,1,1,0,82,0,0,1,12,0,22,10,31,55,2,0
instance_0,0,4,0,2,0,59,0,0,0,19,9,11,7,27,34,2,0
instance_0,0,10,1,2,0,84,0,0,1,4,4,29,34,23,32,2,0
instance_0,0,4,0,2,0,42,0,0,1,1,6,37,30,0,37,0,0
instance_0,0,3,1,1,0,-4,0,0,1,28,5,11,62,60,28,2,0
instance_0,0,11,1,2,0,83,0,0,0,18,0,36,37,27,48,1,0
instance_0,0,9,0,2,0,42,0,0,0,13,0,39,50,74,37,2,0
instance_0,0,2,1,1,0,48,0,0,1,9,8,3,9,9,8,2,0
instance_0,0,8,0,2,0,54,0,0,1,18,8,39,3,18,41,1,0
instance_0,0,1,1,1,0,37,0,0,1,26,8,46,56,4,37,0,0
instance_0,0,0,0,2,0,16,0,0,1,13,9,48,12,44,31,1,0
instance_0,0,0,1,1,0,16,0,0,0,18,1,29,46,69,44,0,0
instance_0,0,7,1,0,0,24,0,0,1,20,4,6,62,31,4,2,0
instance_0,0,0,1,1,0,35,0,0,0,15,8,4,10,35,28,1,0
instance_0,0,2,0,1,0,50,0,0,0,29,4,36,30,49,41,1,0
instance_0,0,10,1,1,0,75,0,0,1,11,7,39,5,61,3,1,0
instance_0,0,0,1,0,0,-1,0,0,0,21,4,22,22,21,31,0,0
instance_0,0,9,1,1,0,47,0,0,0,28,6,25,2,70,25,2,0
instance_0,0,3,1,2,0,35,0,0,0,11,3,0,9,20,54,2,0
instance_0,0,0,1,0,0,81,0,0,1,5,5,20,55,12,52,2,0
instance_0,0,4,0,0,0,67,0,0,1,12,7,14,61,29,33,2,0
instance_0,0,5,1,2,0,87,0,0,1,3,10,13,2,13,53,1,0
instance_0,0,1,1,1,0,59,0,0,0,28,9,20,39,8,10,0,0
instance_0,0,5,0,2,0,66,0,0,0,10,7,26,18,31,12,2,0
instance_0,0,5,1,2,0,38,0,0,0,29,5,17,27,24,31,0,0
instance_0,0,8,0,1,0,52,0,0,0,21,9,36,50,36,16,2,0
instance_0,0,1,1,0,0,68,0,0,1,25,8,41,57,28,16,1,0
instance_0,0,0,1,0,0,80,0,0,1,13,5,5,30,-1,26,0,0
instance_0,0,9,0,2,0,-1,0,0,0,20,0,39,16,1,2,2,0
instance_0,0,8,0,0,0,6,0,0,1,26,6,37,37,6,23,2,0
instance_0,0,9,0,2,0,47,0,0,0,17,8,11,32,41,16,1,0
instance_0,0,5,0,0,0,38,0,0,1,2,4,41,1,23,41,0,0
instance_0,0,3,0,0,0,92,0,0,0,4,1,13,14,32,13,1,0
instance_0,0,10,1,2,0,-1,0,0,0,19,1,5,3,45,32,0,0
instance_0,0,3,1,0,0,34,0,0,1,11,0,19,48,77,3,1,0
instance_0,0,1,0,2,0,-8,0,0,0,3,4,37,61,23,33,2,0
instance_0,0,8,1,2,0,37,0,0,0,8,0,10,31,82,55,2,0
instance_0,0,9,0,2,0,90,0,0,1,25,0,33,1,5,6,2,0
instance_0,0,10,0,2,0,86,0,0,1,1,0,37,60,49,48,1,0
instance_0,0,6,1,0,0,45,0,0,1,18,2,46,37,23,22,1,0
instance_0,0,10,1,2,0,72,0,0,0,11,2,47,1,56,49,2,0
instance_0,0,9,0,1,0,19,0,0,0,14,1,11,52,17,4,2,0
instance_0,0,0,1,2,0,0,0,0,1,5,1,33,25,79,30,2,0
instance_0,0,3,1,1,0,-4,0,0,0,18,2,5,51,62,22,1,0
instance_0,0,1,0,1,0,6,0,0,1,22,10,34,14,37,48,0,0
instance_0,0,1,0,1,0,96,0,0,1,29,7,38,22,85,11,1,0
instance_0,0,1,1,0,0,37,0,0,1,26,10,40,31,24,40,0,0
instance_0,0,8,0,1,0,11,0,0,0,16,4,48,3,84,50,2,0
instance_0,0,9,1,2,0,73,0,0,0,20,9,37,61,77,38,1,0
instance_0,0,2,0,2,0,66,0,0,0,16,7,32,49,79,46,2,0
instance_0,0,0,0,2,0,51,0,0,1,26,7,31,7,47,30,2,0
instance_0,0,0,0,1,0,50,0,0,1,6,0,32,26,56,42,2,0
instance_0,0,9,1,0,0,1,0,0,0,10,5,42,51,54,28,2,0
instance_0,0,0,0,0,0,-2,0,0,0,12,1,18,54,40,28,2,0
instance_0,0,0,0,2,0,64,0,0,0,1,7,13,61,11,56,2,0
instance_0,0,10,1,0,0,58,0,0,0,5,0,18,59,81,51,1,0
instance_0,0,0,1,2,0,36,0,0,1,30,8,43,8,10,15,1,0
instance_0,0,8,1,0,0,43,0,0,1,19,2,36,47,78,19,2,0
instance_0,0,8,0,0,0,48,0,0,1,3,4,20,31,9,49,2,0
instance_0,0,2,0,2,0,90,0,0,1,22,2,23,34,2,18,0,0
instance_0,0,1,1,2,0,26,0,0,0,25,6,8,51,32,20,1,0
instance_0,0,9,2,1,0,1,0,0,0,7,9,46,38,12,37,1,0
instance_0,0,0,0,0,0,98,0,0,0,11,0,46,5,3,24,0,0
instance_0,0,8,1,1,0,12,0,0,1,28,10,20,27,57,39,0,0
instance_0,0,7,0,1,0,77,0,0,0,16,0,40,7,78,10,2,0
instance_0,0,9,1,0,0,31,0,0,1,14,2,8,33,35,44,2,0
instance_0,0,2,1,1,0,36,0,0,0,1,4,20,9,17,42,1,0
instance_0,0,5,0,2,0,75,0,0,0,25,7,47,56,35,29,2,0
instance_0,0,2,0,0,0,45,0,0,0,20,10,20,42,65,39,2,0
instance_0,0,1,1,1,0,24,0,0,0,30,2,15,55,41,4,1,0
instance_0,0,10,0,2,0,59,0,0,0,3,3,45,7,64,10,2,0
instance_0,0,8,0,0,0,18,0,0,1,18,10,37,48,65,35,1,0
instance_0,0,0,0,0,0,19,0,0,0,28,2,13,52,12,45,1,0
instance_0,0,10,0,2,0,6,0,0,0,24,6,47,47,68,34,0,0
instance_0,0,7,0,1,0,-9,0,0,0,28,7,44,45,50,24,0,0
instance_0,0,0,1,2,0,-7,0,0,0,3,3,34,37,45,49,2,0
instance_0,0,5,0,0,0,33,0,0,1,15,9,44,3,28,43,1,0
instance_0,0,9,0,2,0,35,0,0,0,5,5,30,19,44,15,2,0
instance_0,0,10,0,1,0,86,0,0,0,9,3,23,11,71,10,2,0
instance_0,0,9,0,0,0,41,0,0,0,28,4,9,15,35,57,2,0
instance_0,0,8,0,0,0,72,0,0,1,25,7,30,12,65,29,2,0
instance_0,0,1,1,0,0,64,0,0,1,20,1,12,32,75,57,1,0
instance_0,0,6,1,1,0,93,0,0,0,4,5,45,59,37,36,2,0
instance_0,0,4,1,1,0,86,0,0,0,22,5,4,48,48,13,2,0
instance_0,0,3,1,0,0,60,0,0,1,8,1,18,28,38,47,2,0
instance_0,0,9,0,2,0,45,0,0,1,30,8,25,11,65,48,2,0
instance_0,0,1,0,1,0,81,0,0,0,19,3,17,3,48,19,0,0
instance_0,0,10,0,0,0,61,0,0,0,29,3,15,7,21,29,0,0
instance_0,0,0,0,0,0,19,0,0,0,29,5,48,19,25,29,0,0
instance_0,0,8,1,0,0,41,0,0,1,12,6,11,10,20,57,0,0
instance_0,0,3,1,2,0,88,0,0,1,9,9,27,59,46,32,2,0
instance_0,0,7,0,1,0,29,0,0,0,20,7,2,1,38,28,2,0
instance_0,0,10,0,0,0,91,0,0,1,23,3,18,26,4,22,1,0
instance_0,0,2,1,2,0,94,0,0,0,3,3,23,10,17,33,1,0
instance_0,0,5,0,1,0,11,0,0,0,6,6,44,11,64,10,0,0
instance_0,0,4,1,0,0,40,0,0,1,21,6,41,35,15,6,2,0
instance_0,0,1,1,1,0,51,0,0,1,13,4,12,2,23,57,2,0
instance_0,0,10,0,2,0,83,0,0,1,24,7,3,11,68,24,1,0
instance_0,0,0,0,0,0,86,0,0,1,27,10,48,61,22,29,2,0
instance_0,0,3,0,2,0,26,0,0,0,23,2,28,32,42,20,0,0
instance_0,0,7,1,2,0,46,0,0,0,6,0,17,59,55,40,2,0
instance_0,0,9,1,2,0,45,0,0,0,12,4,13,35,34,17,0,0
instance_0,0,5,1,1,0,85,0,0,0,17,10,36,62,77,56,2,0
instance_0,0,4,0,1,0,12,0,0,1,25,1,24,46,18,22,1,0
instance_0,0,1,0,2,0,95,0,0,1,30,3,10,19,11,37,2,0
instance_0,0,1,0,2,0,66,0,0,0,14,2,0,37,17,17,2,0
instance_0,0,1,0,1,0,46,0,0,1,10,9,5,33,48,47,2,0
instance_0,0,10,0,0,0,43,0,0,0,19,1,42,24,24,2,0,0
instance_0,0,7,1,2,0,33,0,0,1,30,3,33,26,9,41,2,0
instance_0,0,3,1,2,0,33,0,0,1,29,1,45,23,25,13,1,0
instance_0,0,9,0,1,0,34,0,0,1,8,7,33,1,10,19,2,0
instance_0,0,7,0,0,0,43,0,0,1,8,2,36,59,46,54,1,0
instance_0,0,4,0,0,0,46,0,0,1,21,2,24,7,62,29,1,0
instance_0,0,5,0,1,0,34,0,0,0,14,4,20,29,21,37,2,0
instance_0,0,8,1,2,0,60,0,0,1,15,8,2,3,23,36,0,0
instance_0,0,8,0,2,0,12,0,0,0,22,0,33,48,56,56,1,0
instance_0,0,4,1,2,0,46,0,0,0,13,7,20,51,24,21,2,0
instance_0,0,3,0,0,0,55,0,0,0,30,7,28,51,49,11,2,0
