Instances,feature_age,feature_job,feature_marital,feature_education,feature_default,feature_balance,feature_housing,feature_loan,feature_contact,feature_day,feature_month,feature_duration,feature_campaign,feature_pdays,feature_previous,feature_poutcome,algo_MLPC_bank
instance_0,0,2,0,0,0,13,0,0,0,7,2,9,13,16,11,0,0
instance_0,0,7,1,2,1,56,1,1,1,19,7,29,38,51,34,2,0
instance_0,0,3,0,1,0,26,0,0,0,10,3,15,20,26,18,1,0
instance_0,0,7,2,3,1,85,1,1,2,27,10,42,54,74,49,3,0
instance_0,0,11,2,2,1,69,1,1,2,22,8,35,45,61,41,2,0
instance_0,0,1,0,0,0,1,0,0,0,3,1,4,6,7,5,0,0
instance_0,0,1,0,0,0,9,0,0,0,6,1,8,11,13,9,0,0
instance_0,0,6,1,2,1,55,0,0,1,11,4,17,23,30,20,1,0
instance_0,0,9,2,3,1,80,1,1,2,25,9,39,51,69,46,3,0
instance_0,0,1,0,0,0,5,0,0,0,5,1,6,9,10,7,0,0
instance_0,0,6,1,2,1,48,1,1,1,17,6,25,33,44,30,2,0
instance_0,0,4,1,1,0,32,0,0,1,12,4,18,24,32,21,1,0
instance_0,0,7,1,2,1,63,1,1,1,21,7,32,41,56,38,2,0
instance_0,0,9,2,3,1,75,1,1,2,24,9,37,48,66,44,3,0
instance_0,0,10,2,3,1,84,1,1,2,26,10,41,53,73,49,3,0
instance_0,0,9,2,3,1,77,1,1,2,28,10,43,55,76,51,3,0
instance_0,0,5,1,1,0,40,1,1,2,30,11,46,60,82,55,3,0
instance_0,0,3,0,1,0,22,0,0,0,9,3,14,18,23,16,1,0
instance_0,0,7,1,2,1,63,1,1,1,20,7,32,41,56,38,2,0
instance_0,0,10,2,3,1,85,1,1,2,27,10,42,54,73,49,3,0
instance_0,0,1,0,0,0,4,0,0,0,4,1,6,8,9,7,0,0
instance_0,0,7,1,2,1,62,1,1,1,20,7,31,41,55,37,2,0
instance_0,0,4,1,1,0,28,0,0,1,11,4,16,22,28,19,1,0
instance_0,0,7,1,2,1,60,1,1,1,20,7,30,40,54,36,2,0
instance_0,0,2,0,0,0,12,0,0,0,6,2,9,12,15,11,0,0
instance_0,0,11,2,3,0,30,0,0,1,11,4,17,23,30,20,1,0
instance_0,0,9,2,3,1,82,1,1,2,26,9,40,52,71,47,3,0
instance_0,0,11,2,3,1,100,1,1,2,31,11,48,62,86,57,3,0
instance_0,0,4,1,1,0,36,0,0,1,13,4,20,26,34,23,1,0
instance_0,0,11,2,3,1,99,1,1,2,31,11,48,62,85,57,3,0
instance_0,0,0,0,0,0,-8,0,0,0,1,0,0,1,-1,0,0,0
instance_0,0,0,0,0,0,-7,0,0,0,1,0,0,1,-1,0,0,0
instance_0,0,9,2,3,1,80,1,1,2,25,9,40,51,70,47,3,0
instance_0,0,6,1,2,1,49,1,1,1,17,6,26,33,45,30,2,0
instance_0,0,4,1,1,0,36,0,0,1,13,4,20,26,35,24,1,0
instance_0,0,8,2,2,1,70,1,1,2,22,8,35,45,62,41,2,0
instance_0,0,4,1,1,0,32,0,0,1,12,4,18,24,32,22,1,0
instance_0,0,9,2,3,1,78,1,1,2,25,9,39,50,68,46,3,0
instance_0,0,7,1,2,1,64,1,1,1,21,7,32,42,57,38,2,0
instance_0,0,7,1,2,1,62,1,1,1,20,7,31,40,55,37,2,0
instance_0,0,0,0,0,0,-3,0,0,0,2,0,3,4,4,3,0,0
instance_0,0,0,0,0,0,-2,0,0,0,2,0,3,4,4,3,0,0
instance_0,0,0,0,0,0,-6,0,0,0,2,0,1,3,1,1,0,0
instance_0,0,0,0,0,0,-5,0,0,0,2,0,1,3,1,1,0,0
instance_0,0,5,1,1,0,38,0,0,1,14,5,21,27,36,24,1,0
instance_0,0,3,0,1,0,24,0,0,0,10,3,15,20,26,17,1,0
instance_0,0,8,2,2,1,74,1,1,2,24,8,37,48,65,44,2,0
instance_0,0,10,2,3,1,84,1,1,2,27,10,41,53,73,49,3,0
instance_0,0,10,2,3,1,92,1,1,2,29,10,45,58,79,53,3,0
instance_0,0,2,0,0,0,11,0,0,0,6,2,9,12,15,10,0,0
instance_0,0,6,1,2,1,48,1,1,1,16,6,25,33,44,30,2,0
instance_0,0,11,2,3,1,96,1,1,2,30,11,46,60,82,55,3,0
instance_0,0,8,2,2,1,68,1,1,2,22,8,34,44,60,41,2,0
instance_0,0,4,1,1,0,31,0,0,1,12,4,18,23,31,21,1,0
instance_0,0,0,0,0,0,-8,0,0,0,1,0,0,2,0,1,0,0
instance_0,0,0,0,0,0,-7,0,0,0,1,0,0,2,0,1,0,0
instance_0,0,4,1,1,0,34,0,0,1,13,4,19,25,33,23,1,0
instance_0,0,6,1,2,1,53,1,1,1,18,6,27,36,48,32,2,0
instance_0,0,7,1,2,1,63,1,1,1,21,7,32,41,56,38,1,0
instance_0,0,8,2,2,1,68,1,1,2,22,8,34,44,60,40,2,0
instance_0,0,11,2,3,1,95,1,1,2,29,11,46,59,82,55,3,0
instance_0,0,9,2,3,1,81,1,1,2,26,9,40,51,70,47,3,0
instance_0,0,9,2,3,1,81,1,1,2,26,9,40,52,71,47,3,0
instance_0,0,2,0,0,0,18,0,0,0,8,2,12,16,20,14,0,0
instance_0,0,7,1,2,1,58,1,1,1,19,7,30,38,52,35,2,0
instance_0,0,7,1,2,1,57,1,1,1,19,7,29,38,52,35,2,0
instance_0,0,6,1,2,0,24,0,0,0,10,3,15,20,25,17,1,0
instance_0,0,8,2,2,1,74,1,1,2,23,8,37,47,64,43,2,0
instance_0,0,8,2,2,1,71,1,1,2,23,8,35,46,63,42,2,0
instance_0,0,3,0,1,0,25,0,0,0,10,3,15,20,26,18,1,0
instance_0,0,2,0,0,0,12,0,0,0,6,2,9,13,16,11,0,0
instance_0,0,1,0,0,0,8,0,0,0,5,1,2,4,3,3,0,0
instance_0,0,11,2,3,1,98,1,1,2,30,11,47,61,84,56,3,0
instance_0,0,3,0,1,0,24,0,0,0,10,3,14,19,56,37,2,0
instance_0,0,10,2,3,1,87,1,1,2,27,10,43,55,75,50,3,0
instance_0,0,9,2,3,1,81,1,1,2,26,2,9,13,16,11,0,0
instance_0,0,11,2,3,1,97,1,1,2,30,11,47,61,83,56,3,0
instance_0,0,9,2,3,1,81,1,1,2,25,9,40,51,70,47,3,0
instance_0,0,6,1,2,1,53,1,1,1,18,6,28,36,48,33,2,0
instance_0,0,7,1,2,1,56,1,1,1,19,7,29,37,51,34,2,0
instance_0,0,0,0,0,0,-4,0,0,0,2,0,2,3,3,2,0,0
instance_0,0,0,0,0,0,-3,0,0,0,2,0,2,3,3,2,0,0
instance_0,0,1,0,0,0,5,0,0,0,4,1,6,8,10,7,0,0
instance_0,0,9,2,3,1,79,1,1,2,25,9,39,50,69,46,3,0
instance_0,0,2,0,0,0,15,0,0,0,7,2,10,14,18,12,0,0
instance_0,0,10,2,3,1,90,1,1,2,28,10,44,57,78,52,3,0
instance_0,0,4,1,1,0,31,0,0,1,12,4,17,23,30,21,1,0
instance_0,0,9,2,3,1,82,1,1,2,25,9,40,51,70,47,3,0
instance_0,0,2,0,0,0,14,0,0,0,7,2,10,14,17,12,0,0
instance_0,0,5,1,1,0,45,0,0,1,15,5,24,31,42,28,1,0
instance_0,0,11,2,3,1,102,1,1,2,31,11,49,63,87,58,3,0
instance_0,0,4,1,1,0,37,0,0,1,13,4,20,27,36,24,1,0
instance_0,0,5,1,1,0,46,0,0,1,16,5,24,32,42,29,1,0
instance_0,0,2,0,0,0,10,0,1,2,22,8,34,44,61,41,2,0
instance_0,0,8,2,2,1,74,1,1,2,24,8,37,47,65,43,2,0
instance_0,0,3,0,1,0,22,0,0,0,9,3,14,18,24,16,1,0
instance_0,0,2,0,0,0,15,0,0,0,7,2,11,14,18,13,0,0
instance_0,0,6,1,2,1,54,1,1,1,18,6,28,36,49,33,2,0
instance_0,0,6,1,2,1,52,1,1,1,17,6,27,35,47,32,2,0
instance_0,0,9,2,3,1,83,1,1,2,26,9,41,52,72,48,3,0
instance_0,0,5,1,1,0,42,0,0,1,15,5,23,30,40,27,1,0
instance_0,0,8,1,1,0,42,0,0,1,15,5,23,30,40,27,1,0
instance_0,0,9,2,3,1,77,1,1,2,24,9,38,49,67,45,3,0
instance_0,0,4,1,1,0,37,0,0,1,13,4,20,26,35,24,1,0
instance_0,0,5,1,1,0,42,0,0,1,15,5,22,29,39,26,1,0
instance_0,0,8,2,2,1,71,1,1,2,23,8,35,46,62,42,2,0
instance_0,0,4,1,1,0,35,0,0,1,13,4,20,26,34,23,1,0
instance_0,0,8,2,2,1,66,1,1,2,21,8,33,43,59,39,2,0
instance_0,0,11,2,3,1,94,1,1,2,29,11,46,59,81,54,3,0
instance_0,0,10,2,3,1,90,1,1,2,28,10,44,56,77,52,3,0
instance_0,0,8,2,2,1,66,1,1,2,22,8,33,43,59,40,2,0
instance_0,0,1,0,0,0,2,0,0,0,4,1,4,7,7,5,0,0
instance_0,0,7,1,2,0,4,0,0,0,4,1,6,8,10,7,0,0
instance_0,0,9,2,3,1,79,1,1,2,25,9,39,50,68,46,0,0
instance_0,0,2,0,0,0,16,0,0,0,7,2,11,15,18,13,0,0
instance_0,0,8,2,2,1,69,1,1,2,22,8,35,45,61,41,2,0
instance_0,0,1,0,0,0,6,0,0,0,5,1,6,9,11,8,0,0
instance_0,0,2,0,0,0,17,0,0,0,8,2,11,16,20,14,0,0
instance_0,0,2,0,0,0,17,0,0,0,8,2,12,16,20,14,0,0
instance_0,0,10,2,3,1,89,1,1,2,28,10,44,56,77,51,3,0
instance_0,0,11,2,3,1,100,1,1,0,10,3,14,19,24,17,1,0
instance_0,0,10,2,3,1,91,1,1,2,28,10,44,57,78,53,3,0
instance_0,0,4,1,1,0,32,0,0,1,12,4,18,24,31,21,1,0
instance_0,0,5,1,1,0,44,0,0,1,15,5,23,30,41,27,1,0
instance_0,0,2,0,0,0,12,0,1,2,28,10,44,56,77,52,3,0
instance_0,0,4,1,1,0,33,0,0,1,12,4,19,25,33,22,1,0
instance_0,0,5,1,1,0,41,0,0,1,15,5,22,29,39,26,1,0
instance_0,0,10,2,3,1,85,1,1,2,27,10,42,54,74,50,3,0
instance_0,0,7,1,2,1,57,1,1,1,19,7,29,38,51,35,2,0
instance_0,0,7,1,2,1,63,1,1,1,20,7,32,41,56,37,2,0
instance_0,0,10,2,3,1,93,1,1,2,29,10,45,58,80,53,3,0
instance_0,0,0,0,0,0,-4,0,0,0,2,0,2,4,3,3,0,0
instance_0,0,0,0,0,0,-3,0,0,0,2,0,2,4,3,3,0,0
instance_0,0,11,2,3,1,101,1,1,2,31,11,49,63,87,58,3,0
instance_0,0,1,2,3,1,93,1,1,2,29,10,45,58,80,54,3,0
instance_0,0,9,2,3,1,78,1,1,2,25,9,38,50,68,45,2,0
instance_0,0,6,1,2,1,52,1,1,1,18,6,27,35,47,32,2,0
instance_0,0,2,0,0,0,17,0,0,0,8,2,11,15,19,13,0,0
instance_0,0,3,0,1,0,26,0,0,0,10,3,15,20,27,18,1,0
instance_0,0,6,1,2,1,51,1,1,1,17,6,27,35,47,32,2,0
instance_0,0,2,0,0,0,10,0,0,0,6,2,8,11,14,10,0,0
instance_0,0,3,0,1,0,23,0,0,0,9,3,14,19,24,16,1,0
instance_0,0,1,0,0,0,6,0,0,0,5,1,6,9,10,7,0,0
instance_0,0,6,1,2,1,49,1,1,1,17,6,26,34,45,30,2,0
instance_0,0,3,0,1,0,24,0,0,0,10,3,15,20,25,17,1,0
instance_0,0,4,1,1,0,30,0,0,1,11,4,17,23,30,20,1,0
instance_0,0,7,1,2,1,58,1,1,1,19,7,30,39,52,35,2,0
instance_0,0,11,2,3,1,94,1,1,2,29,11,46,58,80,54,3,0
instance_0,0,11,2,3,1,96,1,1,2,30,11,32,42,57,38,2,0
instance_0,0,11,2,3,1,99,1,1,2,30,11,48,61,84,57,3,0
instance_0,0,2,0,0,0,17,1,1,2,30,11,47,61,84,56,3,0
instance_0,0,0,0,3,1,98,1,1,2,30,11,47,61,84,56,3,0
instance_0,0,0,0,0,0,-7,0,0,0,1,0,1,10,12,8,0,0
instance_0,0,0,0,0,0,-6,0,0,0,1,0,1,10,12,8,0,0
instance_0,0,8,2,2,1,74,1,1,2,21,7,32,42,57,38,2,0
instance_0,0,9,2,3,1,82,1,1,2,26,9,40,52,71,48,3,0
instance_0,0,4,1,1,0,35,0,0,1,13,4,19,25,34,23,1,0
instance_0,0,2,0,0,0,16,0,0,0,7,2,11,15,19,13,0,0
instance_0,0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,0,10,2,3,1,71,1,1,2,23,8,35,46,62,42,2,0
instance_0,0,11,2,3,1,98,1,1,2,30,11,48,61,84,56,3,0
instance_0,0,7,1,2,1,57,1,1,1,19,7,29,38,51,34,2,0
instance_0,0,5,1,1,0,44,0,0,1,15,5,23,31,41,28,1,0
instance_0,0,9,2,3,1,83,1,1,2,26,9,41,53,72,48,3,0
instance_0,0,1,0,0,0,4,0,0,1,16,5,24,32,42,29,1,0
instance_0,0,5,1,1,0,40,0,0,1,14,5,22,29,38,26,1,0
instance_0,0,5,1,1,0,41,0,0,1,14,5,22,29,39,26,1,0
instance_0,0,7,1,2,1,65,1,1,1,21,7,33,42,57,39,2,0
instance_0,0,6,1,2,1,55,1,1,1,18,6,29,37,50,34,2,0
instance_0,0,8,2,2,1,69,1,1,2,22,8,34,44,60,41,2,0
instance_0,0,5,1,1,0,44,0,0,1,15,5,23,30,41,28,1,0
instance_0,0,6,1,2,1,51,1,1,1,17,6,26,35,47,31,2,0
instance_0,0,1,1,1,0,35,0,0,1,13,4,19,25,33,23,1,0
instance_0,0,2,0,0,0,18,0,0,0,8,2,12,16,21,14,0,0
instance_0,0,5,1,1,0,37,0,0,1,13,5,20,27,36,24,1,0
instance_0,0,5,1,1,0,66,1,1,2,21,8,33,43,59,39,2,0
instance_0,0,7,1,2,1,60,1,1,1,20,7,31,40,54,36,2,0
instance_0,0,5,1,1,0,40,0,0,1,14,5,21,28,37,25,1,0
instance_0,0,8,2,2,1,68,1,1,2,22,8,34,53,73,49,3,0
instance_0,0,4,1,1,0,35,0,0,1,13,4,19,25,33,23,1,0
instance_0,0,2,0,0,0,18,0,0,0,13,4,20,26,34,23,1,0
instance_0,0,10,2,3,1,6,0,0,0,5,1,7,9,11,8,0,0
instance_0,0,1,0,0,0,6,0,0,0,5,1,6,9,12,8,0,0
instance_0,0,4,1,1,0,34,0,0,1,13,4,19,25,33,22,1,0
instance_0,0,11,1,2,1,52,1,1,1,18,6,27,35,47,32,2,0
instance_0,0,2,0,0,0,18,0,0,0,8,2,12,16,14,10,0,0
instance_0,0,0,0,0,0,-5,0,0,0,1,0,1,2,1,1,0,0
instance_0,0,8,2,2,1,74,1,1,2,24,9,38,49,67,45,3,0
instance_0,0,1,0,0,0,8,0,0,0,5,1,7,10,13,9,0,0
instance_0,0,1,0,0,0,1,0,0,0,4,1,4,7,7,5,0,0
instance_0,0,8,2,2,1,67,1,1,2,22,8,33,43,59,40,2,0
instance_0,0,8,2,2,1,73,1,1,2,23,8,36,47,64,27,1,0
instance_0,0,4,1,1,0,35,0,0,1,13,4,19,26,34,23,1,0
instance_0,0,4,1,1,0,29,0,0,1,11,4,17,22,29,20,1,0
instance_0,0,0,0,0,0,-2,0,0,0,2,0,2,4,3,3,0,0
instance_0,0,1,0,0,0,9,0,0,0,5,2,9,13,16,11,0,0
instance_0,0,8,2,2,1,70,1,1,2,23,8,35,45,62,42,2,0
instance_0,0,8,2,2,1,72,1,1,2,23,8,36,47,64,43,2,0
instance_0,0,10,2,3,1,87,1,1,2,27,10,43,55,76,51,3,0
instance_0,0,11,2,3,1,97,1,1,2,30,11,47,60,83,55,3,0
instance_0,0,6,1,2,1,55,1,1,1,18,6,28,37,50,33,2,0
instance_0,0,7,1,2,1,63,1,0,1,12,4,17,23,30,21,1,0
instance_0,0,3,0,1,0,60,1,1,1,20,7,31,40,54,36,2,0
instance_0,0,10,2,3,1,86,1,1,2,27,10,42,54,75,50,3,0
instance_0,0,5,1,1,0,42,0,0,1,15,5,22,29,39,27,1,0
instance_0,0,5,1,1,0,46,0,0,1,16,5,24,32,43,29,1,0
instance_0,0,6,1,2,1,56,1,1,1,14,5,22,29,39,26,1,0
instance_0,0,0,0,0,0,0,0,0,0,3,0,4,6,6,4,0,0
instance_0,0,2,0,0,0,12,0,0,0,6,2,9,13,15,11,0,0
instance_0,0,4,1,1,0,30,0,0,1,12,4,17,23,30,20,1,0
instance_0,0,4,1,1,0,33,0,0,1,12,4,18,24,32,22,1,0
instance_0,0,7,1,2,1,61,1,1,1,20,7,31,40,54,37,2,0
instance_0,0,11,0,0,0,2,0,0,0,4,1,5,7,7,5,0,0
instance_0,0,2,0,0,0,12,0,0,0,7,2,9,13,16,11,0,0
instance_0,0,0,0,0,0,94,1,1,2,29,11,46,59,81,54,3,0
instance_0,0,2,0,0,0,14,0,0,0,7,2,10,14,80,54,3,0
instance_0,0,11,2,3,1,95,1,1,2,29,11,46,59,81,55,3,0
instance_0,0,7,1,2,1,62,1,1,1,20,7,32,41,56,37,2,0
instance_0,0,1,0,0,0,4,0,0,0,4,1,6,8,10,7,0,0
instance_0,0,3,0,1,0,25,0,0,0,10,8,36,46,63,42,2,0
instance_0,0,10,2,3,1,85,1,1,2,27,10,42,54,74,49,3,0
instance_0,0,11,2,3,1,97,1,1,2,30,11,47,60,83,56,3,0
instance_0,0,3,0,1,0,21,1,1,2,21,8,33,43,58,39,2,0
instance_0,0,8,2,2,1,69,1,1,2,22,8,34,45,61,41,2,0
instance_0,0,1,0,0,0,0,0,0,0,3,1,4,6,6,4,0,0
instance_0,0,6,1,2,1,56,1,1,1,19,6,29,37,50,34,2,0
instance_0,0,8,2,2,1,69,1,1,2,22,8,35,45,64,43,2,0
instance_0,0,9,2,3,1,77,1,1,2,25,9,38,49,68,45,3,0
instance_0,0,7,1,2,1,63,1,1,1,21,7,32,42,56,38,2,0
instance_0,0,11,2,3,1,96,1,1,2,30,11,47,60,83,55,3,0
instance_0,0,3,0,1,0,23,0,0,0,10,3,14,19,24,17,1,0
instance_0,0,9,2,3,1,76,1,1,2,24,9,38,49,67,45,3,0
instance_0,0,1,0,0,0,2,0,0,0,4,1,5,7,7,5,0,0
instance_0,0,3,2,3,1,86,1,1,2,27,10,42,54,74,50,3,0
instance_0,0,5,1,1,0,40,0,0,1,14,5,21,28,38,25,1,0
instance_0,0,6,1,2,1,48,1,1,1,17,6,25,33,45,30,2,0
instance_0,0,4,1,1,0,36,0,0,1,13,4,20,3,2,2,0,0
instance_0,0,6,1,2,1,55,1,1,1,18,6,28,37,50,34,2,0
instance_0,0,0,0,0,0,-2,0,0,0,3,0,3,5,5,3,0,0
instance_0,0,0,0,0,0,-1,0,0,0,3,0,3,5,5,3,0,0
instance_0,0,0,0,0,0,-2,0,0,0,3,0,3,5,4,3,0,0
instance_0,0,0,0,0,0,-1,0,0,0,3,0,3,5,4,3,0,0
instance_0,0,11,2,3,1,100,1,1,2,31,11,49,62,86,57,3,0
instance_0,0,0,0,0,0,0,0,0,0,3,0,3,5,5,4,0,0
instance_0,0,6,1,2,1,51,1,1,1,17,6,26,34,46,31,2,0
instance_0,0,0,1,1,0,43,0,0,1,15,5,23,30,40,27,1,0
instance_0,0,1,0,0,0,3,0,0,0,4,1,5,7,8,6,0,0
instance_0,0,10,2,3,1,87,1,1,2,27,10,42,55,75,50,3,0
instance_0,0,5,1,1,0,38,0,0,1,13,4,19,26,34,23,1,0
instance_0,0,0,0,0,0,-3,0,0,0,2,0,2,4,4,3,0,0
instance_0,0,0,0,0,0,-2,0,0,0,2,0,2,4,4,3,0,0
instance_0,0,4,1,1,0,31,0,0,1,21,7,32,41,56,38,2,0
instance_0,0,10,2,3,1,88,1,1,2,28,10,43,55,76,51,3,0
instance_0,0,9,2,3,1,75,1,1,1,11,4,17,22,29,20,1,0
instance_0,0,1,0,0,0,3,0,0,0,4,1,5,11,14,10,0,0
instance_0,0,5,1,1,0,37,0,0,1,14,5,20,27,36,24,1,0
instance_0,0,7,1,2,1,59,1,1,1,19,7,30,39,53,35,2,0
instance_0,0,6,1,2,0,22,0,0,0,9,3,13,18,23,16,1,0
instance_0,0,6,1,2,1,53,1,1,1,18,6,28,36,49,33,2,0
instance_0,0,11,2,3,1,93,1,1,2,29,11,45,58,80,54,3,0
instance_0,0,10,2,3,1,91,1,1,2,28,10,44,57,78,52,3,0
instance_0,0,9,2,3,1,80,1,1,2,25,9,39,51,70,47,3,0
instance_0,0,8,2,2,1,69,1,1,2,22,8,44,56,77,52,3,0
instance_0,0,6,1,2,1,49,1,1,1,17,6,23,30,40,27,1,0
instance_0,0,3,0,1,0,28,0,0,0,11,3,16,21,28,19,1,0
instance_0,0,11,2,3,1,95,1,1,2,24,8,37,47,65,43,2,0
instance_0,0,8,2,2,1,72,1,1,2,23,8,36,47,63,43,2,0
instance_0,0,3,0,1,0,25,0,0,0,10,3,15,20,26,17,1,0
instance_0,0,10,2,3,1,91,1,1,2,28,10,45,57,79,53,3,0
instance_0,0,11,2,3,1,95,1,1,2,30,11,46,60,82,55,3,0
instance_0,0,10,2,3,1,86,1,1,2,22,8,33,43,59,39,2,0
instance_0,0,11,2,3,1,95,1,1,2,29,11,46,59,81,54,3,0
instance_0,0,10,2,3,1,92,1,1,2,29,9,41,53,72,48,3,0
instance_0,0,7,1,2,1,59,1,1,1,20,7,30,39,53,36,2,0
instance_0,0,6,1,2,1,77,1,1,2,24,9,38,49,67,45,3,0
instance_0,0,11,2,3,1,96,1,1,2,30,11,47,60,82,55,3,0
instance_0,0,3,0,1,0,27,0,0,0,10,3,16,21,27,18,1,0
instance_0,0,3,0,2,1,65,1,1,1,21,7,33,42,57,39,2,0
instance_0,0,7,1,2,1,65,1,1,1,21,7,33,42,58,39,2,0
instance_0,0,5,1,1,0,40,0,0,1,14,5,21,28,14,10,0,0
instance_0,0,1,0,0,0,8,0,0,0,5,1,7,11,13,9,0,0
instance_0,0,1,0,0,0,-9,0,0,0,1,0,0,1,-1,0,0,0
instance_0,0,1,0,0,0,-8,0,0,0,1,0,0,1,-1,0,0,0
instance_0,0,1,0,0,0,-9,0,0,0,1,0,0,1,0,0,0,0
instance_0,0,0,0,0,0,-9,0,0,0,1,0,0,1,-1,0,0,0
instance_0,0,0,0,0,0,-9,0,0,0,1,0,0,1,0,0,0,0
instance_0,0,11,2,3,1,101,1,1,2,31,11,49,62,86,58,3,0
instance_0,0,5,1,1,0,45,0,0,1,15,5,24,31,41,28,1,0
instance_0,0,8,2,2,1,67,1,1,2,22,8,34,44,60,40,2,0
instance_0,0,11,2,3,1,101,1,1,2,31,11,49,63,81,54,3,0
instance_0,0,3,0,1,0,45,0,0,1,15,5,24,31,41,28,1,0
instance_0,0,10,2,3,1,91,1,1,2,31,11,48,62,85,57,3,0
instance_0,0,10,2,3,1,90,1,1,2,28,10,44,56,78,52,3,0
instance_0,0,10,2,3,1,88,1,1,2,27,10,43,55,76,51,3,0
instance_0,0,1,0,0,0,1,0,0,0,3,1,4,7,7,5,0,0
instance_0,0,2,0,0,0,17,0,0,0,8,2,11,15,20,13,0,0
instance_0,0,11,2,3,1,99,1,1,2,30,11,48,61,84,56,3,0
instance_0,0,8,2,2,1,71,1,1,2,23,8,36,46,63,42,2,0
instance_0,0,6,1,2,1,50,1,1,1,17,6,26,34,16,11,0,0
instance_0,0,1,0,0,0,8,0,0,0,5,1,7,10,12,9,0,0
instance_0,0,9,2,3,1,81,1,1,2,25,9,40,51,43,29,2,0
