Instances,feature_age,feature_workclass,feature_fnlwgt,feature_education,feature_marital_status,feature_occupation,feature_relationship,feature_race,feature_sex,feature_capital_gain,feature_capital_loss,feature_hours_per_week,feature_native_country,algo_Decision_tree_standard_unfair
instance_0,8,2,10,13,1,5,0,2,0,2,5,12,4,0
instance_0,5,7,11,3,5,6,0,2,0,3,2,2,1,0
instance_0,7,0,10,13,0,3,5,2,0,5,6,11,5,0
instance_0,4,5,11,6,4,7,0,1,0,3,1,1,2,0
instance_0,9,6,12,4,1,7,2,2,0,2,3,2,1,0
instance_0,4,7,10,6,4,7,0,1,0,6,2,2,2,0
instance_0,8,4,10,4,1,10,1,4,0,0,2,0,0,0
instance_0,4,2,14,5,2,5,2,1,0,36,14,36,4,0
instance_0,7,3,10,3,2,9,1,4,0,0,5,1,2,0
instance_0,9,5,8,15,0,4,5,3,0,0,2,7,5,0
instance_0,9,5,8,14,0,2,3,1,0,2,2,8,9,0
instance_0,9,7,37,15,0,1,0,0,0,10,4,10,4,0
instance_0,8,3,11,4,2,9,0,4,0,2,4,2,1,0
instance_0,1,0,1,0,0,0,1,1,0,30,12,30,12,0
instance_0,9,7,14,4,0,5,0,2,0,4,7,5,11,0
instance_0,7,0,9,12,0,5,3,3,0,3,4,12,5,0
instance_0,4,1,10,8,2,8,2,1,0,4,2,10,10,0
instance_0,4,1,11,8,4,7,2,2,0,3,1,7,11,0
instance_0,3,6,11,5,4,7,1,1,0,3,2,3,2,0
instance_0,8,3,11,4,2,8,0,3,0,2,3,2,0,0
instance_0,5,4,21,8,3,7,3,2,0,54,21,54,21,0
instance_0,9,7,8,14,0,3,2,3,0,1,1,6,7,0
instance_0,8,7,12,3,1,9,0,3,0,2,0,3,0,0
instance_0,9,4,8,14,0,5,5,4,0,0,4,7,5,0
instance_0,4,1,11,8,3,8,2,1,0,3,1,7,11,0
instance_0,9,4,12,5,0,7,0,3,0,1,7,0,8,0
instance_0,9,6,11,4,0,7,0,1,0,3,6,1,8,0
instance_0,3,2,12,5,1,2,1,1,0,20,8,20,8,0
instance_0,3,7,16,3,3,4,2,2,0,3,1,8,10,0
instance_0,8,7,11,4,0,10,0,3,0,2,2,3,0,0
instance_0,4,4,10,6,4,7,0,1,0,2,1,0,3,0
instance_0,4,5,10,5,3,2,1,2,0,2,2,2,2,0
instance_0,9,3,13,6,1,7,0,4,0,1,5,0,7,0
instance_0,9,5,8,15,0,2,4,2,0,2,2,7,9,0
instance_0,5,3,18,7,3,6,2,2,0,38,15,38,15,0
instance_0,9,4,12,5,0,8,0,2,0,2,7,0,8,0
instance_0,3,4,10,6,4,7,0,1,0,2,1,1,3,0
instance_0,9,7,8,15,0,6,5,4,0,3,0,8,8,0
instance_0,9,7,8,14,0,4,2,3,0,1,1,6,7,0
instance_0,9,4,24,9,4,8,3,3,0,61,24,61,24,0
instance_0,8,7,12,3,2,9,0,3,0,2,1,3,1,0
instance_0,2,1,7,8,3,7,3,2,0,54,21,54,21,0
instance_0,4,6,18,3,0,4,3,1,0,1,3,10,10,0
instance_0,9,7,9,15,1,3,1,2,0,3,6,10,6,0
instance_0,4,1,11,10,3,3,3,1,0,5,6,11,10,0
instance_0,7,5,38,15,6,13,5,4,0,97,38,97,38,0
instance_0,3,7,12,5,5,6,0,3,0,4,3,3,0,0
instance_0,1,0,0,0,0,0,0,0,0,2,0,2,0,0
instance_0,7,4,26,1,4,4,0,0,0,1,5,73,1,0
instance_0,7,6,16,6,2,5,2,2,0,40,16,40,16,0
instance_0,9,3,13,6,1,7,0,4,0,1,6,0,7,0
instance_0,4,1,11,8,4,8,2,2,0,3,1,7,11,0
instance_0,8,5,9,13,0,5,5,4,0,1,2,7,4,0
instance_0,3,2,12,5,2,4,1,1,0,31,12,31,35,0
instance_0,9,4,12,5,0,7,0,3,0,2,7,0,8,0
instance_0,3,3,12,6,4,6,5,3,0,2,2,6,13,0
instance_0,8,2,10,13,1,5,0,4,0,2,5,11,3,0
instance_0,9,5,8,14,0,4,3,3,0,1,3,4,5,0
instance_0,7,0,10,12,0,3,5,2,0,5,5,10,6,0
instance_0,7,3,11,3,2,9,1,4,0,0,3,1,2,0
instance_0,9,7,14,4,0,4,0,3,0,5,6,3,11,0
instance_0,9,3,13,7,1,7,0,4,0,0,5,0,6,0
instance_0,8,5,9,13,0,5,5,4,0,1,2,7,5,0
instance_0,9,7,37,14,6,12,5,4,0,88,35,88,35,0
instance_0,2,7,14,6,5,3,5,1,0,1,1,6,13,0
instance_0,8,7,16,5,3,4,0,3,0,1,8,4,12,0
instance_0,7,0,10,14,0,2,5,4,0,4,6,10,5,0
instance_0,2,3,13,7,4,6,5,2,0,2,2,4,12,0
instance_0,9,2,13,6,2,7,0,4,0,0,6,0,6,0
instance_0,8,7,10,5,2,7,0,0,0,2,0,2,2,0
instance_0,7,7,14,4,2,6,0,2,0,0,7,5,12,0
instance_0,1,7,14,7,4,3,5,0,0,2,3,5,12,0
instance_0,4,6,13,5,5,3,0,3,0,6,3,2,1,0
instance_0,5,7,18,1,0,5,2,3,0,0,5,8,10,0
instance_0,8,7,9,5,2,7,0,0,0,2,1,2,2,0
instance_0,4,7,18,1,1,5,3,2,0,1,5,10,10,0
instance_0,7,1,10,12,2,3,4,1,0,5,6,10,5,0
instance_0,5,4,13,7,4,4,0,2,0,2,3,1,1,0
instance_0,9,7,37,14,6,12,5,4,0,92,37,92,37,0
instance_0,8,6,31,12,5,10,4,3,0,77,31,77,31,0
instance_0,6,5,25,10,4,9,3,3,0,64,11,29,11,0
instance_0,9,6,9,14,1,2,0,2,0,3,7,11,6,0
instance_0,5,4,13,7,4,5,0,2,0,2,3,1,1,0
instance_0,7,0,9,12,0,5,3,3,0,3,5,12,3,0
instance_0,9,7,39,15,3,6,2,2,0,45,18,45,18,0
instance_0,8,7,11,4,0,10,0,3,0,2,1,3,0,0
instance_0,1,0,3,1,5,10,4,3,0,76,30,76,30,0
instance_0,6,4,23,9,4,8,3,2,0,57,23,57,23,0
instance_0,4,3,17,7,3,6,2,2,0,44,17,44,17,0
instance_0,7,3,9,13,1,4,4,3,0,0,2,8,4,0
instance_0,9,7,39,11,4,9,4,3,0,70,28,70,28,0
instance_0,4,1,11,8,3,8,2,1,0,3,0,8,11,0
instance_0,7,7,20,6,1,7,4,3,0,0,9,8,13,0
instance_0,9,5,8,15,0,2,1,1,0,4,3,8,8,0
instance_0,9,7,9,14,1,2,2,2,0,3,6,11,6,0
instance_0,4,4,10,6,4,4,1,2,0,3,2,0,3,0
instance_0,7,7,10,7,3,7,0,0,0,4,1,2,1,0
instance_0,8,7,10,4,2,7,1,1,0,1,2,2,2,0
instance_0,4,3,31,12,5,11,4,3,0,78,31,78,31,0
instance_0,2,1,8,3,1,2,1,1,0,21,8,21,8,0
instance_0,8,7,10,4,0,11,0,3,0,2,2,2,0,0
instance_0,4,1,11,8,3,8,2,1,0,4,2,10,10,0
instance_0,3,4,10,5,4,7,0,1,0,3,2,0,3,0
instance_0,9,4,12,5,0,7,0,3,0,2,6,0,8,0
instance_0,8,7,12,3,1,9,0,3,0,2,1,3,0,0
instance_0,8,5,12,3,0,8,0,2,0,3,7,0,8,0
instance_0,7,5,27,11,4,11,4,3,0,79,31,79,31,0
instance_0,9,5,8,15,0,6,5,3,0,3,0,8,7,0
instance_0,3,1,9,8,4,6,2,2,0,6,5,10,8,0
instance_0,9,5,8,15,0,4,2,3,0,1,2,7,5,0
instance_0,9,3,13,5,1,7,0,3,0,1,7,0,7,0
instance_0,8,6,8,14,0,4,5,4,0,3,1,9,6,0
instance_0,9,7,7,14,0,7,4,4,0,4,0,7,8,0
instance_0,1,5,13,7,4,3,5,0,0,2,3,5,10,0
instance_0,9,7,10,4,2,7,1,1,0,1,2,2,2,0
instance_0,4,6,18,3,1,4,3,2,0,1,4,10,10,0
instance_0,8,7,9,14,0,5,5,3,0,1,1,7,8,0
instance_0,6,7,12,4,0,9,1,4,0,2,0,4,1,0
instance_0,8,7,9,13,0,5,4,4,0,2,1,7,8,0
instance_0,9,7,37,14,6,13,5,4,0,93,30,77,30,0
instance_0,3,7,16,3,2,4,3,1,0,3,0,7,10,0
instance_0,9,4,9,13,2,2,5,4,0,1,2,10,2,0
instance_0,7,6,12,4,0,10,0,4,0,1,1,3,0,0
instance_0,9,7,37,14,6,13,2,2,0,40,16,40,16,0
instance_0,6,4,22,8,3,7,3,2,0,56,22,56,22,0
instance_0,9,3,10,15,2,4,1,3,0,2,4,13,3,0
instance_0,2,7,16,3,2,4,5,0,0,1,0,7,10,0
instance_0,7,1,8,12,0,5,3,4,0,4,5,11,4,0
instance_0,7,2,10,13,1,5,0,4,0,3,5,11,3,0
instance_0,4,5,9,5,3,2,1,2,0,3,2,2,2,0
instance_0,5,3,18,7,3,6,2,2,0,46,18,46,18,0
instance_0,4,1,10,9,3,8,3,1,0,4,4,10,10,0
instance_0,8,3,9,14,2,1,5,4,0,0,2,11,2,0
instance_0,9,7,12,4,0,7,2,2,0,1,3,2,1,0
instance_0,9,5,8,15,0,2,4,1,0,2,3,8,9,0
instance_0,8,7,11,4,1,9,0,4,0,2,0,3,0,0
instance_0,4,1,11,8,2,8,2,1,0,4,2,10,10,0
instance_0,9,2,10,15,2,5,0,3,0,2,3,11,4,0
instance_0,1,4,13,7,4,6,5,1,0,1,2,5,11,0
instance_0,7,2,10,4,0,7,1,4,0,0,5,1,3,0
instance_0,5,1,11,8,3,8,2,1,0,4,1,10,10,0
instance_0,7,1,9,12,0,5,3,4,0,4,5,11,4,0
instance_0,1,0,0,0,0,0,0,0,0,70,28,70,28,0
instance_0,8,6,10,4,1,10,2,3,0,0,1,1,0,0
instance_0,8,7,11,4,0,10,0,3,0,2,0,3,0,0
instance_0,5,7,11,5,5,6,0,2,0,3,2,2,1,0
instance_0,4,2,13,5,2,4,2,1,0,34,13,34,13,0
instance_0,8,3,10,4,0,7,0,4,0,1,6,0,5,0
instance_0,8,6,18,5,4,4,0,2,0,0,8,6,11,0
instance_0,2,7,14,6,5,3,5,1,0,1,1,5,13,0
instance_0,9,7,8,15,0,7,4,4,0,4,0,7,8,0
instance_0,4,7,11,4,4,7,1,2,0,3,2,3,1,0
instance_0,5,7,17,1,1,5,2,3,0,1,5,8,10,0
instance_0,2,3,12,6,4,6,5,3,0,2,2,6,12,0
instance_0,7,2,10,12,0,6,3,4,0,4,5,11,4,0
instance_0,9,7,9,15,1,3,2,2,0,4,6,10,6,0
instance_0,9,2,10,15,1,5,0,3,0,2,3,11,4,0
instance_0,2,1,8,3,1,8,3,3,0,60,24,60,24,0
instance_0,1,4,13,7,4,4,5,0,0,1,3,5,10,0
instance_0,8,5,8,13,0,4,5,4,0,1,2,7,4,0
instance_0,4,5,10,5,3,4,1,2,0,3,3,2,2,0
instance_0,9,7,36,14,6,12,5,4,0,92,36,90,36,0
instance_0,8,4,9,13,3,2,5,4,0,0,2,10,2,0
instance_0,8,2,10,13,0,6,0,4,0,2,5,11,2,0
instance_0,3,5,11,5,4,5,2,1,0,3,2,3,2,0
instance_0,8,3,12,4,2,8,0,4,0,2,3,2,1,0
instance_0,9,5,7,15,0,6,5,3,0,3,0,8,6,0
instance_0,2,6,16,3,2,4,5,0,0,1,0,7,10,0
instance_0,9,7,9,14,1,2,0,2,0,3,7,11,7,0
instance_0,5,7,18,1,1,5,1,4,0,0,6,9,11,0
instance_0,7,2,10,13,1,6,0,4,0,3,5,11,3,0
instance_0,7,0,10,12,2,3,5,1,0,5,6,9,6,0
instance_0,5,3,17,7,3,6,2,2,0,44,17,44,17,0
instance_0,5,7,18,1,1,5,1,4,0,1,6,9,12,0
instance_0,3,7,12,5,4,3,0,3,0,5,3,3,0,0
instance_0,2,1,5,2,1,2,0,0,0,14,5,14,5,0
instance_0,7,0,10,12,2,3,4,1,0,5,6,9,6,0
instance_0,9,7,37,14,6,13,5,4,0,93,37,93,37,0
instance_0,7,2,10,5,0,7,1,4,0,0,5,1,3,0
instance_0,9,3,10,15,3,4,1,3,0,2,4,13,5,0
instance_0,8,6,31,12,5,10,4,3,0,77,31,65,26,0
instance_0,8,7,12,3,2,9,0,3,0,2,2,3,1,0
instance_0,5,1,10,8,3,8,2,1,0,4,2,10,10,0
instance_0,8,4,8,14,0,5,5,4,0,0,4,7,5,0
instance_0,4,6,11,5,3,7,1,1,0,3,2,3,2,0
instance_0,3,2,12,5,2,4,1,1,0,31,12,31,12,0
instance_0,6,4,22,8,3,7,3,2,0,55,22,55,22,0
instance_0,3,2,11,7,4,7,5,3,0,2,2,6,13,0
instance_0,2,1,7,3,1,2,1,0,0,18,7,18,7,0
instance_0,8,6,8,14,1,2,5,3,0,1,2,9,8,0
instance_0,6,0,10,14,0,3,5,3,0,4,6,11,6,0
instance_0,2,1,7,3,1,2,4,3,0,75,30,75,30,0
instance_0,8,3,10,4,0,7,1,4,0,0,6,1,3,0
instance_0,9,6,9,15,1,2,2,2,0,4,6,10,7,0
instance_0,9,7,14,4,0,4,0,2,0,5,7,4,11,0
instance_0,4,2,14,5,2,11,5,4,0,84,33,84,33,0
instance_0,2,1,6,2,1,0,0,0,0,4,1,4,1,0
instance_0,1,0,3,1,0,1,0,0,0,3,1,3,1,0
instance_0,9,5,8,15,1,1,1,2,0,4,6,8,8,0
instance_0,2,7,14,5,3,3,5,1,0,1,1,6,13,0
instance_0,8,7,14,4,0,5,0,2,0,0,7,5,12,0
instance_0,9,7,9,14,1,2,1,2,0,3,6,11,7,0
instance_0,4,5,15,8,4,5,1,1,0,3,2,1,1,0
instance_0,3,7,16,3,2,4,3,1,0,2,1,7,9,0
instance_0,8,4,12,5,1,7,0,3,0,1,7,0,7,0
instance_0,3,6,14,8,5,5,2,1,0,7,4,0,0,0
instance_0,8,7,9,14,0,5,5,3,0,1,1,7,7,0
instance_0,1,0,2,1,0,1,0,0,0,7,2,7,2,0
instance_0,5,7,11,4,3,6,0,3,0,3,3,3,0,0
instance_0,4,5,10,6,4,3,1,1,0,3,3,2,2,0
instance_0,7,3,9,13,1,3,4,4,0,0,2,8,4,0
instance_0,4,7,11,4,4,6,1,2,0,3,2,3,1,0
instance_0,8,4,11,4,2,9,0,4,0,2,4,1,1,0
instance_0,9,7,10,4,1,7,1,1,0,2,3,2,2,0
instance_0,7,5,29,11,5,10,4,3,0,72,29,72,29,0
instance_0,4,1,11,8,3,8,2,2,0,3,1,7,11,0
instance_0,5,3,18,7,3,6,2,2,0,47,18,47,18,0
instance_0,4,6,17,4,0,4,3,2,0,1,3,9,10,0
instance_0,1,6,14,7,4,3,5,0,0,2,3,5,11,0
instance_0,8,7,10,3,0,10,0,3,0,2,2,2,0,0
instance_0,4,2,14,5,2,4,2,1,0,35,14,35,14,0
instance_0,4,5,9,5,3,2,1,2,0,2,2,2,2,0
instance_0,7,0,9,12,0,5,3,2,0,4,4,13,6,0
instance_0,2,0,4,1,0,1,0,0,0,11,3,9,3,0
instance_0,4,6,17,3,0,4,3,2,0,1,3,9,10,0
instance_0,8,4,9,14,2,2,5,4,0,0,3,11,2,0
instance_0,8,3,12,3,2,8,0,4,0,2,3,2,1,0
instance_0,9,5,8,14,0,4,4,3,0,1,3,5,5,0
instance_0,9,5,12,3,1,8,2,3,0,1,1,3,1,0
instance_0,8,7,35,14,6,12,5,4,0,64,25,64,25,0
instance_0,2,1,8,3,1,2,1,1,0,20,8,20,32,0
instance_0,7,2,10,12,1,6,1,4,0,3,5,11,4,0
instance_0,6,4,23,9,4,8,3,2,0,62,24,62,24,0
instance_0,2,7,14,7,4,3,5,1,0,1,1,5,13,0
instance_0,9,5,12,2,0,7,0,2,0,3,6,0,8,0
instance_0,8,3,9,13,2,3,4,4,0,0,2,10,2,0
instance_0,8,5,10,4,1,10,1,3,0,0,1,0,0,0
instance_0,2,7,15,3,2,4,5,0,0,1,0,7,11,0
instance_0,2,7,16,3,3,4,5,0,0,1,1,7,9,0
instance_0,9,5,8,15,0,2,2,1,0,3,2,7,9,0
instance_0,7,7,12,3,0,10,1,4,0,1,0,4,0,0
instance_0,8,3,9,14,2,1,5,4,0,1,3,11,4,0
instance_0,9,7,14,4,0,4,0,4,0,5,6,2,10,0
instance_0,9,3,10,15,2,4,1,3,0,2,4,13,4,0
instance_0,3,7,16,3,3,4,2,1,0,3,1,8,10,0
instance_0,7,7,10,5,2,7,0,0,0,2,0,3,2,0
instance_0,8,6,10,4,1,10,2,3,0,0,1,2,0,0
instance_0,7,0,10,13,0,4,4,2,0,4,4,13,6,0
instance_0,9,3,9,15,2,3,2,4,0,2,3,13,4,0
instance_0,6,7,20,5,1,7,4,3,0,0,8,8,12,0
instance_0,1,4,13,7,4,5,5,1,0,1,2,5,10,0
instance_0,3,2,14,5,0,5,1,0,0,4,0,3,1,0
instance_0,7,0,10,12,1,3,5,1,0,5,6,9,6,0
instance_0,6,4,23,9,4,8,3,2,0,59,23,59,23,0
instance_0,9,5,8,14,0,2,4,1,0,2,2,8,9,0
instance_0,3,4,10,6,4,7,0,1,0,3,2,0,3,0
instance_0,5,3,18,7,3,6,2,2,0,94,37,94,37,0
instance_0,7,6,30,12,5,10,4,3,0,77,30,77,30,0
instance_0,4,5,13,8,4,5,1,2,0,2,3,0,2,0
instance_0,8,7,9,13,0,5,4,3,0,1,1,7,8,0
instance_0,1,0,4,1,0,1,0,0,0,11,4,11,4,0
instance_0,7,5,27,11,4,9,4,3,0,68,27,68,27,0
instance_0,5,1,11,8,3,8,2,1,0,4,0,9,10,0
instance_0,7,7,20,5,1,7,4,3,0,0,8,8,13,0
instance_0,5,7,18,1,1,5,1,4,0,0,5,9,11,0
instance_0,5,7,18,1,0,5,2,3,0,1,5,8,10,0
instance_0,6,5,26,10,4,2,1,1,0,20,8,20,8,0
instance_0,5,5,13,5,5,4,0,3,0,6,3,1,1,0
instance_0,4,4,10,6,4,4,1,1,0,3,2,0,3,0
instance_0,8,6,32,12,5,11,4,4,0,81,32,81,32,0
instance_0,8,7,10,4,0,10,0,3,0,1,2,2,0,0
instance_0,9,7,37,14,6,13,5,4,0,94,37,94,37,0
instance_0,1,4,13,6,4,4,5,0,0,1,3,5,10,0
instance_0,5,7,17,1,1,5,1,4,0,0,6,9,11,0
instance_0,6,0,10,14,0,4,5,3,0,4,6,12,6,0
instance_0,7,1,8,12,0,6,3,4,0,4,5,11,4,0
instance_0,6,4,22,9,3,7,3,2,0,56,22,56,22,0
instance_0,4,1,11,8,4,7,3,2,0,2,1,7,11,0
instance_0,4,1,10,8,3,8,2,1,0,4,2,10,10,0
instance_0,7,7,20,5,1,7,4,3,0,0,8,8,12,0
instance_0,9,5,8,15,0,2,3,2,0,3,2,7,9,0
instance_0,4,4,10,6,4,4,1,1,0,3,3,2,4,0
instance_0,7,1,9,12,0,5,2,3,0,4,5,12,3,0
instance_0,9,2,10,15,1,5,0,3,0,2,4,11,4,0
instance_0,4,7,16,3,1,4,3,1,0,1,0,7,12,0
instance_0,9,5,12,4,1,7,2,3,0,1,1,3,1,0
instance_0,7,3,12,3,2,9,1,4,0,0,3,1,2,0
instance_0,3,2,11,4,2,4,1,1,0,29,11,29,11,0
instance_0,5,1,10,8,3,8,2,1,0,4,1,10,10,0
instance_0,8,4,11,5,2,9,0,4,0,2,4,1,1,0
instance_0,1,0,3,1,0,1,0,0,0,9,3,96,38,0
instance_0,9,5,11,4,1,6,0,1,0,3,7,1,9,0
instance_0,7,3,12,4,2,9,1,4,0,3,3,1,2,0
instance_0,5,3,19,7,3,6,2,2,0,47,19,47,19,0
instance_0,8,5,8,13,0,5,5,4,0,1,2,7,4,0
instance_0,6,7,18,4,4,6,0,3,0,0,7,8,12,0
instance_0,5,3,35,14,6,12,5,4,0,87,35,87,35,0
instance_0,4,7,17,3,0,3,3,2,0,0,2,9,11,0
instance_0,4,5,10,6,4,4,1,1,0,3,3,2,2,0
instance_0,8,4,10,4,1,10,1,4,0,0,1,0,0,0
instance_0,6,4,24,9,4,8,4,3,0,77,30,77,30,0
instance_0,7,0,10,13,0,3,5,2,0,5,6,9,5,0
instance_0,7,5,26,10,4,9,4,3,0,41,16,41,16,0
instance_0,4,7,17,3,0,3,3,2,0,0,3,9,11,0
instance_0,7,7,10,7,2,6,0,2,0,5,1,2,1,0
instance_0,9,5,8,15,0,2,3,2,0,2,2,7,9,0
instance_0,6,7,17,3,0,3,3,1,0,1,1,8,12,0
instance_0,4,3,19,7,3,6,2,2,0,48,19,48,19,0
instance_0,1,5,14,7,4,4,5,0,0,2,3,5,10,0
instance_0,4,2,13,5,2,4,2,1,0,34,13,34,37,0
instance_0,8,5,8,15,1,1,1,2,0,4,6,8,8,0
instance_0,7,3,9,13,1,4,5,4,0,1,2,8,4,0
instance_0,4,3,17,7,3,6,0,0,0,7,2,7,2,0
instance_0,8,3,11,3,2,8,0,4,0,2,4,2,1,0
instance_0,9,6,8,14,0,4,3,3,0,1,2,5,7,0
instance_0,4,1,10,9,5,7,3,1,0,4,4,10,10,0
instance_0,9,5,17,4,4,3,0,2,0,2,7,5,11,0
instance_0,3,2,12,4,2,4,1,1,0,31,12,70,28,0
instance_0,5,4,20,8,3,7,3,2,0,50,20,50,20,0
instance_0,7,3,9,13,1,4,4,4,0,0,2,8,4,0
instance_0,3,2,12,4,2,4,1,1,0,30,12,30,12,0
instance_0,9,7,9,14,1,2,1,3,0,3,6,11,7,0
instance_0,1,0,4,1,0,1,0,0,0,10,4,11,4,0
instance_0,8,3,11,3,2,9,0,4,0,2,4,2,1,0
instance_0,8,3,9,14,2,2,5,4,0,2,3,11,4,0
instance_0,7,0,8,12,0,5,4,4,0,4,5,11,3,0
instance_0,6,7,17,3,0,3,3,1,0,1,2,8,12,0
instance_0,8,6,8,14,0,2,4,1,0,1,2,9,8,0
instance_0,7,7,19,5,0,7,3,3,0,1,8,8,13,0
instance_0,8,5,8,15,0,2,1,2,0,4,6,8,8,0
instance_0,6,7,20,5,1,7,4,4,0,0,8,8,12,0
instance_0,4,5,10,6,4,7,0,1,0,3,1,0,3,0
instance_0,2,7,14,5,5,3,5,1,0,0,1,6,13,0
instance_0,7,5,29,11,5,10,4,3,0,73,29,89,35,0
instance_0,9,7,36,14,6,12,5,4,0,92,36,92,36,0
instance_0,8,2,10,13,1,5,0,3,0,2,5,12,4,0
instance_0,2,7,14,7,3,3,5,0,0,1,2,5,13,0
instance_0,9,7,9,14,1,2,1,2,0,3,7,11,7,0
instance_0,9,6,12,3,0,7,0,2,0,3,6,1,8,0
instance_0,4,7,11,4,3,7,1,1,0,3,2,3,2,0
instance_0,2,3,13,7,4,6,5,2,0,1,2,4,12,0
instance_0,4,7,18,1,0,5,3,2,0,1,5,9,10,0
instance_0,9,5,9,15,0,1,1,1,0,4,5,7,8,0
instance_0,8,6,8,14,0,3,5,4,0,2,1,9,8,0
instance_0,7,3,10,3,1,8,1,4,0,0,5,2,3,0
instance_0,4,7,18,1,1,4,3,2,0,1,5,10,10,0
instance_0,7,1,10,12,2,3,4,1,0,5,6,10,6,0
instance_0,5,7,17,1,1,6,2,3,0,1,5,8,10,0
instance_0,8,6,34,13,6,12,5,4,0,87,34,87,34,0
instance_0,8,6,8,14,1,5,5,4,0,3,1,9,6,0
instance_0,7,7,17,4,1,4,0,2,0,1,6,5,11,1
instance_0,8,7,16,3,3,5,0,2,0,1,8,4,12,1
instance_0,9,6,13,4,2,4,0,2,0,3,7,2,10,1
instance_0,6,7,19,4,1,7,3,4,0,0,6,9,12,1
instance_0,9,7,17,4,1,4,0,3,0,1,7,6,12,1
instance_0,3,7,14,5,5,4,0,3,0,6,3,2,1,1
instance_0,4,7,11,5,4,5,0,3,0,3,3,3,0,1
