Instances,feature_age,feature_workclass,feature_fnlwgt,feature_education,feature_marital_status,feature_occupation,feature_relationship,feature_race,feature_sex,feature_capital_gain,feature_capital_loss,feature_hours_per_week,feature_native_country,algo_MLPC
instance_0,5,2,1,11,3,3,3,1,0,79,25,34,17,0
instance_0,4,6,9,0,5,11,4,1,0,4,28,5,7,0
instance_0,7,3,9,5,5,8,0,1,0,78,28,23,33,0
instance_0,3,0,28,9,3,5,2,0,0,59,3,33,11,0
instance_0,2,4,8,5,4,1,0,2,0,94,31,17,35,0
instance_0,1,2,3,2,1,6,1,3,0,47,27,22,1,0
instance_0,5,5,35,11,3,11,4,0,0,0,36,31,36,0
instance_0,1,4,27,14,0,10,2,3,0,59,25,25,32,0
instance_0,1,1,38,5,4,0,4,0,0,29,33,32,9,0
instance_0,6,3,8,6,0,9,3,1,0,83,33,9,24,0
instance_0,2,4,7,11,1,11,0,1,0,92,27,42,9,0
instance_0,5,1,30,14,0,12,0,0,0,43,24,46,3,0
instance_0,7,3,6,5,1,5,1,1,0,56,17,15,15,0
instance_0,2,3,15,3,4,10,1,1,0,44,28,5,4,0
instance_0,6,4,23,0,0,12,2,3,0,15,28,14,26,0
instance_0,3,6,10,5,4,10,1,2,0,63,5,34,16,0
instance_0,1,0,31,2,2,1,1,3,0,52,24,3,2,0
instance_0,2,0,7,6,1,11,4,0,0,34,27,6,1,0
instance_0,1,4,15,4,4,11,0,2,0,4,6,34,11,0
instance_0,2,0,3,11,0,0,1,1,0,57,24,35,38,0
instance_0,8,2,5,9,1,3,1,1,0,19,22,65,12,0
instance_0,8,6,5,8,5,5,3,3,0,41,24,7,7,0
instance_0,1,1,14,10,0,9,4,3,0,68,33,32,32,0
instance_0,8,1,11,7,0,10,1,1,0,51,24,22,3,0
instance_0,7,0,31,10,2,7,4,3,0,57,5,3,19,0
instance_0,8,0,7,10,5,8,0,1,0,23,4,22,38,0
instance_0,3,6,37,10,3,1,1,3,0,52,31,8,37,0
instance_0,2,1,0,0,1,11,2,3,0,84,25,36,12,0
instance_0,2,6,38,4,3,6,4,3,0,93,5,6,24,0
instance_0,1,4,4,3,4,4,0,2,0,66,18,17,1,0
instance_0,6,1,26,5,3,13,2,3,0,3,23,4,14,0
instance_0,1,4,9,0,2,7,1,1,0,31,12,12,34,0
instance_0,5,4,27,4,4,10,1,3,0,65,3,15,5,0
instance_0,1,5,35,5,3,8,3,0,0,3,1,22,20,0
instance_0,5,1,28,12,1,10,1,0,0,28,31,35,16,0
instance_0,5,3,10,7,3,6,4,3,0,67,24,34,16,0
instance_0,1,4,23,6,3,10,4,3,0,31,2,1,0,0
instance_0,7,0,2,1,3,9,0,0,0,60,25,17,27,0
instance_0,7,4,24,14,1,12,1,3,0,93,30,32,26,0
instance_0,9,5,6,8,5,13,3,1,0,32,9,0,16,0
instance_0,6,0,17,5,2,0,1,2,0,4,19,20,3,0
instance_0,1,2,7,5,1,6,3,3,0,48,4,5,5,0
instance_0,8,0,28,7,4,6,3,0,0,2,24,22,36,0
instance_0,6,3,1,8,5,11,0,3,0,46,24,50,31,0
instance_0,4,2,33,8,5,3,4,1,0,59,28,6,32,0
instance_0,7,4,20,13,3,8,3,1,0,32,28,50,21,0
instance_0,1,4,35,14,5,2,2,0,0,38,2,69,18,0
instance_0,8,3,18,7,2,3,2,3,0,19,7,17,3,0
instance_0,6,2,3,0,0,11,1,3,0,47,30,21,36,0
instance_0,4,2,8,10,1,5,3,0,0,97,31,26,25,0
instance_0,2,3,38,5,3,6,1,0,0,76,3,6,32,0
instance_0,1,6,23,6,4,12,1,3,0,46,2,16,29,0
instance_0,2,1,36,6,1,10,3,3,0,80,2,22,5,0
instance_0,2,0,22,6,5,8,3,0,0,65,24,3,21,0
instance_0,2,1,22,4,4,1,1,1,0,41,24,2,29,0
instance_0,7,0,27,13,5,10,3,3,0,83,27,83,35,0
instance_0,4,5,28,8,4,9,3,1,0,49,19,25,4,0
instance_0,8,4,10,10,3,11,4,1,0,66,23,53,7,0
instance_0,3,6,2,13,0,11,3,1,0,49,3,8,31,0
instance_0,7,5,19,9,2,5,1,3,0,89,28,30,37,0
instance_0,2,1,24,5,1,6,0,0,0,54,22,37,12,0
instance_0,1,2,3,13,3,0,0,3,0,55,5,24,7,0
instance_0,2,1,26,6,1,2,3,0,0,83,27,54,5,0
instance_0,7,4,8,7,1,7,1,3,0,30,34,14,2,0
instance_0,2,3,7,11,2,5,1,2,0,24,17,8,26,0
instance_0,1,4,12,14,4,8,2,1,0,15,25,22,10,0
instance_0,6,1,37,7,1,12,4,2,0,70,35,62,17,0
instance_0,3,6,10,11,4,10,0,3,0,32,3,56,27,0
instance_0,1,4,25,10,3,6,2,1,0,88,26,31,10,0
instance_0,8,6,11,8,3,12,1,1,0,10,27,26,0,0
instance_0,3,3,24,7,0,9,2,1,0,36,24,91,1,0
instance_0,8,0,23,3,5,0,1,2,0,31,26,10,4,0
instance_0,8,3,0,12,0,9,4,0,0,15,33,13,24,0
instance_0,4,3,26,14,2,8,3,2,0,52,25,57,16,0
instance_0,1,0,8,13,1,9,3,1,0,59,24,4,23,0
instance_0,8,4,5,4,1,11,0,0,0,52,33,77,13,0
instance_0,7,1,37,7,2,0,2,0,0,42,22,97,25,0
instance_0,1,1,33,8,3,10,4,0,0,0,27,19,7,0
instance_0,1,4,28,1,3,11,2,2,0,53,12,34,31,0
instance_0,1,3,12,13,3,6,3,2,0,63,9,29,22,0
instance_0,1,0,21,6,1,5,1,3,0,42,28,22,7,0
instance_0,2,5,26,5,1,6,1,0,0,53,24,73,12,0
instance_0,3,1,28,0,2,7,4,1,0,30,9,22,10,0
instance_0,8,3,8,10,2,9,1,3,0,61,30,22,33,0
instance_0,1,4,3,13,4,6,4,2,0,38,30,54,34,0
instance_0,7,1,38,5,1,6,1,1,0,22,36,29,21,0
instance_0,7,1,8,12,2,8,1,2,0,31,24,9,3,0
instance_0,6,4,0,12,0,7,1,3,0,3,24,9,30,0
instance_0,8,0,28,2,2,8,1,3,0,85,24,14,16,0
instance_0,5,1,25,4,5,7,0,2,0,28,24,10,4,0
instance_0,2,3,14,0,4,5,0,3,0,46,37,4,23,0
instance_0,1,6,30,6,1,4,4,0,0,88,32,32,30,0
instance_0,6,4,36,2,1,12,3,0,0,23,30,30,34,0
instance_0,4,3,27,11,3,9,0,0,0,48,34,3,18,0
instance_0,4,0,13,13,1,11,0,3,0,53,27,26,20,0
instance_0,1,1,23,14,1,5,2,1,0,40,33,6,28,0
instance_0,7,4,36,5,2,7,4,0,0,6,18,3,14,0
instance_0,5,2,21,8,3,8,4,3,0,35,14,12,3,0
instance_0,2,5,23,5,5,8,1,1,0,90,14,48,5,0
instance_0,6,1,19,5,2,12,4,2,0,70,2,12,18,0
instance_0,8,6,37,7,1,10,1,2,0,92,13,2,22,0
instance_0,1,4,0,6,1,7,1,0,0,39,10,32,18,0
instance_0,2,1,13,3,1,10,4,2,0,15,24,22,31,0
instance_0,7,2,0,11,3,10,3,1,0,4,33,19,33,0
instance_0,2,6,5,7,5,0,3,0,0,59,5,8,6,0
instance_0,5,0,20,10,5,8,0,3,0,28,21,70,25,0
instance_0,2,4,18,7,1,11,4,2,0,72,7,41,21,0
instance_0,1,4,26,2,5,11,2,0,0,64,28,8,6,0
instance_0,1,2,14,2,1,11,2,1,0,38,33,4,23,0
instance_0,5,3,38,14,0,11,4,0,0,58,24,34,30,0
instance_0,8,5,11,4,3,10,0,0,0,2,24,73,14,0
instance_0,2,6,34,5,4,13,0,3,0,45,3,80,28,0
instance_0,7,1,19,10,1,12,3,1,0,36,37,79,18,0
instance_0,8,6,0,6,5,7,2,1,0,1,33,30,38,0
instance_0,1,2,33,6,1,9,4,2,0,4,34,6,10,0
instance_0,3,4,26,12,5,10,3,3,0,87,29,31,16,0
instance_0,8,3,21,0,5,8,2,0,0,58,33,27,3,0
instance_0,8,0,17,8,1,10,1,0,0,89,22,46,2,0
instance_0,6,1,37,10,2,0,3,3,0,37,37,8,20,0
instance_0,6,2,35,14,3,6,0,3,0,70,24,5,37,0
instance_0,7,6,12,5,5,5,0,3,0,18,7,6,27,0
instance_0,6,4,8,9,1,4,1,0,0,44,12,22,29,0
instance_0,8,2,23,14,4,8,2,0,0,36,30,34,26,0
instance_0,1,6,25,10,2,7,4,1,0,44,27,44,26,0
instance_0,6,6,10,12,5,9,3,1,0,22,24,95,5,0
instance_0,6,3,19,14,2,8,0,3,0,1,31,12,18,0
instance_0,2,0,15,5,3,6,1,1,0,44,28,45,4,0
instance_0,1,4,10,9,1,8,2,0,0,75,24,31,17,0
instance_0,3,1,29,7,0,11,4,3,0,38,28,3,25,0
instance_0,7,2,5,7,2,8,0,3,0,50,26,30,14,0
instance_0,7,3,11,13,3,8,1,1,0,58,31,26,34,0
instance_0,8,6,0,7,2,10,3,1,0,92,33,9,33,0
instance_0,3,4,18,11,4,0,2,0,0,48,27,95,8,0
instance_0,1,2,23,8,5,5,1,1,0,65,28,60,30,0
instance_0,1,2,2,11,2,8,3,2,0,84,31,91,20,0
instance_0,3,5,35,9,0,7,2,3,0,56,24,22,7,0
instance_0,6,4,9,9,4,5,1,1,0,39,16,31,2,0
instance_0,7,0,36,12,2,8,4,3,0,49,5,22,27,0
instance_0,8,1,36,4,2,10,0,1,0,46,23,3,13,0
instance_0,4,2,1,10,3,6,1,2,0,96,25,72,8,0
instance_0,1,4,18,10,5,2,2,1,0,73,33,87,16,0
instance_0,1,3,26,13,0,11,0,1,0,5,31,29,34,0
instance_0,6,1,38,0,5,11,1,3,0,77,33,31,21,0
instance_0,3,2,27,14,1,9,0,1,0,65,19,6,4,0
instance_0,8,3,26,9,2,12,0,2,0,0,36,36,26,0
instance_0,2,2,11,5,1,3,3,2,0,96,33,33,36,0
instance_0,7,3,30,14,4,3,3,1,0,31,32,55,3,0
instance_0,1,6,37,7,1,7,4,0,0,66,9,38,18,0
instance_0,1,1,15,2,0,8,2,0,0,21,3,26,36,0
instance_0,1,4,8,0,3,9,1,1,0,68,28,31,4,0
instance_0,5,5,23,5,2,11,1,0,0,33,27,29,14,0
instance_0,2,2,36,7,1,1,1,2,0,83,26,56,15,0
instance_0,1,6,13,5,3,4,2,0,0,98,36,58,6,0
instance_0,2,2,28,10,5,12,2,0,0,62,25,32,29,0
instance_0,4,4,33,13,1,8,4,0,0,51,13,28,24,0
instance_0,1,3,11,9,0,10,3,2,0,51,25,91,1,0
instance_0,2,0,33,10,1,0,2,0,0,80,24,3,9,0
instance_0,3,0,22,6,5,0,1,0,0,7,24,66,25,0
instance_0,4,1,10,5,2,12,0,1,0,93,21,35,17,0
instance_0,3,1,8,2,2,0,2,0,0,54,25,7,13,0
instance_0,2,1,15,1,2,13,3,0,0,88,24,9,8,0
instance_0,7,1,24,12,3,9,1,3,0,48,24,12,3,0
instance_0,1,4,3,5,0,0,1,0,0,11,25,2,13,0
instance_0,2,3,23,12,3,10,3,1,0,9,28,75,0,0
instance_0,8,0,3,3,5,6,1,2,0,48,10,23,7,0
instance_0,2,1,28,3,3,6,3,2,0,48,9,36,0,0
instance_0,1,2,3,6,4,10,1,1,0,58,27,85,2,0
instance_0,2,4,33,14,5,13,1,0,0,94,17,4,5,0
instance_0,2,3,31,5,5,4,0,0,0,53,24,37,12,0
instance_0,2,1,35,5,4,1,3,3,0,34,1,14,37,0
instance_0,1,2,4,9,3,4,0,1,0,74,30,64,2,0
instance_0,7,0,29,6,1,11,0,3,0,33,31,35,1,0
instance_0,7,0,21,5,2,2,3,3,0,24,29,8,29,0
instance_0,3,3,32,2,3,7,4,3,0,48,32,38,5,0
instance_0,5,1,20,10,3,10,3,3,0,6,27,92,6,0
instance_0,2,6,37,10,5,5,3,3,0,31,18,8,16,0
instance_0,3,4,29,1,3,6,4,1,0,49,24,32,4,0
instance_0,1,6,33,1,1,8,3,1,0,73,1,14,0,0
instance_0,2,4,23,5,0,4,4,1,0,45,24,7,7,0
instance_0,8,1,8,1,2,5,1,3,0,32,28,31,16,0
instance_0,4,2,9,12,3,10,0,1,0,42,26,12,9,0
instance_0,4,0,12,7,2,5,4,0,0,94,24,18,19,0
instance_0,7,3,9,13,3,1,1,0,0,46,21,39,20,0
instance_0,4,4,35,7,4,9,4,0,0,31,24,3,10,0
instance_0,2,4,34,8,3,1,1,2,0,89,24,1,25,0
instance_0,7,2,3,6,5,4,3,1,0,55,30,38,5,0
instance_0,7,3,38,1,5,0,0,0,0,82,12,34,15,0
instance_0,8,4,15,5,1,11,0,2,0,20,6,3,16,0
instance_0,2,1,7,5,2,0,4,0,0,74,35,17,22,0
instance_0,3,5,20,12,1,6,2,0,0,75,27,69,38,0
instance_0,2,5,28,14,3,10,2,0,0,92,33,15,9,0
instance_0,1,1,12,1,5,3,4,2,0,44,24,12,12,0
instance_0,1,3,20,1,2,0,1,2,0,54,33,33,8,0
instance_0,2,6,31,7,1,10,4,1,0,4,31,0,10,0
instance_0,2,1,21,7,1,1,0,2,0,83,32,63,4,0
instance_0,6,1,28,7,1,7,2,2,0,32,27,29,35,0
instance_0,1,2,7,2,3,12,0,3,0,15,26,19,10,0
instance_0,2,3,0,9,4,5,2,3,0,55,30,39,32,0
instance_0,2,2,6,8,4,12,3,0,0,84,9,89,13,0
instance_0,3,4,12,5,0,8,0,0,0,85,24,20,26,0
instance_0,1,5,38,10,1,7,3,0,0,42,24,97,11,0
instance_0,1,0,1,0,4,13,5,4,0,80,32,64,15,0
instance_0,4,1,27,11,4,9,1,0,0,44,16,15,6,0
instance_0,6,5,27,2,4,5,3,0,0,61,24,64,30,0
instance_0,1,3,4,10,0,9,1,1,0,10,28,13,23,0
instance_0,1,2,16,5,4,9,0,2,0,89,28,58,25,0
instance_0,1,3,15,8,2,12,3,2,0,3,24,34,18,0
instance_0,2,2,25,12,4,8,0,0,0,25,0,7,31,0
instance_0,5,4,21,8,3,8,1,3,0,35,28,38,3,0
instance_0,6,3,24,5,5,0,1,1,0,48,29,26,30,0
instance_0,4,0,38,7,2,0,1,0,0,76,25,25,16,0
instance_0,4,4,20,5,1,4,0,1,0,64,1,88,4,0
instance_0,3,2,4,14,4,12,1,0,0,53,14,97,29,0
instance_0,2,6,26,10,2,4,1,2,0,92,26,9,3,0
instance_0,5,4,38,3,3,6,2,3,0,46,2,74,16,0
instance_0,1,3,29,1,3,7,3,2,0,36,35,18,1,0
instance_0,3,1,11,14,4,7,1,3,0,71,34,43,3,0
instance_0,7,5,35,1,5,6,3,1,0,48,6,12,35,0
instance_0,5,4,33,5,3,11,1,1,0,4,18,30,23,0
instance_0,3,4,25,5,0,6,3,0,0,53,37,31,1,0
instance_0,3,0,13,13,4,9,3,0,0,39,16,41,19,0
instance_0,7,3,34,7,4,7,3,1,0,54,24,75,4,0
instance_0,4,0,22,10,2,7,2,1,0,46,24,36,1,0
instance_0,1,4,8,3,1,10,2,3,0,54,26,36,20,0
instance_0,3,6,38,13,3,12,1,2,0,59,30,33,10,0
instance_0,8,4,10,2,4,9,1,2,0,1,27,12,6,0
instance_0,6,3,3,6,4,10,2,1,0,63,37,51,23,0
instance_0,7,4,23,5,5,13,0,1,0,32,0,73,19,0
instance_0,1,1,3,5,1,12,1,2,0,11,28,2,12,0
instance_0,2,3,20,5,3,8,0,1,0,72,24,37,21,0
instance_0,1,0,11,11,4,1,4,2,0,42,21,4,16,0
instance_0,1,2,31,9,3,7,4,1,0,46,31,67,30,0
instance_0,8,1,20,10,1,5,3,0,0,65,28,72,30,0
instance_0,6,3,9,11,2,0,3,3,0,55,33,58,16,0
instance_0,2,6,12,5,0,5,3,3,0,49,31,96,20,0
instance_0,8,2,6,8,5,11,4,2,0,56,27,59,36,0
instance_0,6,1,38,13,5,9,4,1,0,80,24,17,0,0
instance_0,4,0,21,7,3,11,1,3,0,43,20,23,0,0
instance_0,6,3,25,3,0,7,1,0,0,31,24,80,18,0
instance_0,2,4,10,4,2,1,0,2,0,0,31,26,36,0
instance_0,1,6,33,7,5,10,4,0,0,79,0,22,1,0
instance_0,1,4,21,5,3,4,2,0,0,58,27,85,1,0
instance_0,1,3,11,5,4,0,0,0,0,44,38,9,7,0
instance_0,2,1,5,8,1,11,0,3,0,44,4,12,1,0
instance_0,1,2,25,5,6,13,5,3,0,95,5,95,5,0
instance_0,2,5,17,11,4,5,3,2,0,81,9,26,35,0
instance_0,6,6,30,12,4,5,3,3,0,47,16,22,27,0
instance_0,8,2,23,6,5,9,0,0,0,5,12,29,34,0
instance_0,8,4,11,6,2,10,0,3,0,62,27,86,11,0
instance_0,7,0,9,14,3,3,0,1,0,57,19,3,9,0
instance_0,1,6,37,10,0,0,3,3,0,64,16,42,16,0
instance_0,8,2,25,10,1,4,3,3,0,58,36,65,29,0
instance_0,8,1,26,10,1,10,2,3,0,4,37,72,23,0
instance_0,7,6,4,2,0,11,1,3,0,87,25,12,25,0
instance_0,4,6,13,4,2,13,0,1,0,56,23,61,36,0
instance_0,1,2,28,9,1,7,3,2,0,52,32,78,22,0
instance_0,3,2,14,13,3,1,4,0,0,42,25,94,17,0
instance_0,5,6,13,13,1,4,0,0,0,55,33,6,14,0
instance_0,1,3,23,7,5,7,0,1,0,38,38,95,18,0
instance_0,1,1,24,0,1,6,2,3,0,44,27,70,1,0
instance_0,2,0,12,7,5,3,1,3,0,49,16,84,8,0
instance_0,7,1,34,11,3,12,1,3,0,20,24,14,18,0
instance_0,5,5,7,8,5,11,2,0,0,74,33,5,8,0
instance_0,8,3,13,13,3,2,1,2,0,92,12,3,26,0
instance_0,2,3,31,0,3,7,1,2,0,71,7,8,36,0
instance_0,1,2,11,14,2,5,2,3,0,5,24,25,4,0
instance_0,4,0,25,10,1,5,2,1,0,45,33,42,30,0
instance_0,6,4,10,7,3,10,0,1,0,85,0,26,27,0
instance_0,4,4,8,11,2,3,3,0,0,86,29,27,1,0
instance_0,2,1,11,11,1,11,4,2,0,95,25,95,2,0
instance_0,3,2,13,10,1,1,3,3,0,65,33,26,8,0
instance_0,5,1,9,5,3,8,1,2,0,1,4,14,4,0
instance_0,4,5,26,6,3,12,2,0,0,41,8,6,3,0
instance_0,1,2,7,5,1,9,1,0,0,42,10,87,5,0
instance_0,1,6,5,3,1,7,0,1,0,90,34,97,21,0
instance_0,8,4,12,5,4,7,0,2,0,85,24,30,12,0
instance_0,3,1,11,1,1,4,4,0,0,46,24,19,22,0
instance_0,5,6,38,7,1,10,1,2,0,37,31,14,25,0
instance_0,2,4,16,13,3,9,3,2,0,94,31,64,35,0
instance_0,2,0,2,8,3,12,1,0,0,62,30,82,32,0
instance_0,2,4,33,12,0,7,3,2,0,86,33,28,16,0
instance_0,6,4,7,13,4,11,1,1,0,58,31,95,24,0
instance_0,8,1,32,12,5,10,3,3,0,76,28,6,4,0
instance_0,1,4,36,2,1,8,3,0,0,83,27,22,21,0
instance_0,7,5,34,6,2,12,2,0,0,58,27,31,10,0
instance_0,2,2,4,11,5,5,4,0,0,8,8,14,13,0
instance_0,4,4,10,11,3,8,1,0,0,84,37,0,24,0
instance_0,1,0,31,13,1,11,2,0,0,26,33,32,31,0
instance_0,1,2,35,14,5,12,0,3,0,55,15,5,37,0
instance_0,4,3,0,9,4,5,3,1,0,32,30,39,32,0
instance_0,7,4,28,10,2,1,3,1,0,33,33,29,5,0
instance_0,1,1,16,5,2,8,0,1,0,72,35,35,31,0
instance_0,8,1,9,7,5,4,0,2,0,31,26,9,32,0
instance_0,7,2,38,7,1,8,1,2,0,26,2,32,5,0
instance_0,1,3,21,12,2,12,1,1,0,60,31,71,12,0
instance_0,7,2,32,14,0,12,4,1,0,57,26,11,24,0
instance_0,1,1,38,12,1,11,4,2,0,4,24,17,0,0
instance_0,1,4,28,11,0,4,4,1,0,3,3,33,12,0
instance_0,1,2,25,5,2,4,4,3,0,93,30,32,10,0
instance_0,1,2,17,14,3,0,2,1,0,58,26,51,24,0
instance_0,1,0,14,13,0,6,0,3,0,53,30,17,18,0
instance_0,2,3,29,5,5,9,3,3,0,75,37,32,33,0
instance_0,8,6,30,5,1,12,4,0,0,50,5,30,35,0
instance_0,3,1,12,0,1,9,4,3,0,42,25,1,31,0
instance_0,2,0,36,8,2,10,3,3,0,91,5,32,16,0
instance_0,2,2,13,12,3,5,3,1,0,32,36,7,1,0
instance_0,5,4,32,9,4,3,3,2,0,65,25,20,28,0
instance_0,3,3,23,5,1,4,2,1,0,49,33,13,37,0
instance_0,5,3,23,6,4,9,1,0,0,36,25,51,5,0
instance_0,8,6,13,1,5,10,0,0,0,52,13,5,3,0
instance_0,5,6,28,6,4,7,1,3,0,56,26,27,2,0
instance_0,4,3,10,5,2,2,3,3,0,6,37,34,34,0
instance_0,2,1,21,8,5,12,0,0,0,47,26,22,10,0
instance_0,7,6,35,6,0,8,1,3,0,84,17,60,21,0
instance_0,1,2,15,12,1,9,2,2,0,90,30,2,22,0
instance_0,9,3,34,11,5,8,5,1,0,9,36,89,9,0
instance_0,8,2,25,10,1,5,0,1,0,37,13,43,21,0
instance_0,3,3,30,4,2,9,2,3,0,70,27,29,6,0
instance_0,6,2,16,10,2,5,3,2,0,89,26,2,25,0
instance_0,3,0,35,5,1,7,3,1,0,38,9,3,2,0
instance_0,8,1,7,8,3,11,3,3,0,15,14,2,29,0
instance_0,7,3,16,7,1,5,3,3,0,20,24,17,15,0
instance_0,2,1,6,8,3,3,1,2,0,19,24,53,14,0
instance_0,7,0,33,2,5,11,1,2,0,43,20,31,20,0
instance_0,5,1,29,12,4,7,3,1,0,54,1,33,4,0
instance_0,1,0,9,12,1,5,0,0,0,66,24,27,24,0
instance_0,2,3,36,5,2,8,0,3,0,36,33,31,29,0
instance_0,2,0,1,10,3,6,1,2,0,67,26,46,27,0
instance_0,5,3,31,8,4,9,0,0,0,85,33,81,30,0
instance_0,7,3,30,11,4,5,3,2,0,43,8,35,37,0
instance_0,1,6,32,9,1,12,1,3,0,27,27,26,17,0
instance_0,4,4,36,5,4,5,3,3,0,45,25,29,4,0
instance_0,8,0,14,9,1,4,3,2,0,43,3,17,36,0
instance_0,4,2,10,0,4,3,3,1,0,13,26,32,26,0
instance_0,4,1,28,9,5,2,0,3,0,14,24,74,17,0
instance_0,2,1,32,13,5,9,3,1,0,30,14,5,22,0
instance_0,1,3,18,6,4,8,1,0,0,62,2,92,8,0
instance_0,8,0,29,10,5,12,4,0,0,68,26,74,5,0
instance_0,2,1,20,7,3,5,0,3,0,95,8,55,8,0
instance_0,3,4,10,0,3,12,0,1,0,95,26,23,3,0
instance_0,3,1,0,14,2,3,1,2,0,89,29,29,2,0
instance_0,3,0,19,14,0,5,1,3,0,56,12,22,7,0
instance_0,3,2,24,5,1,6,0,1,0,54,28,13,4,0
instance_0,2,6,0,13,3,13,3,1,0,18,33,9,32,0
instance_0,3,2,23,14,5,0,0,0,0,90,10,21,29,0
instance_0,2,0,37,14,3,12,0,1,0,96,31,54,12,0
instance_0,2,3,7,9,3,1,2,0,0,56,28,95,21,0
instance_0,7,2,7,8,1,7,1,1,0,10,24,93,4,0
instance_0,2,0,23,10,4,7,0,1,0,20,36,22,3,0
instance_0,1,3,18,5,4,9,3,2,0,52,4,90,19,0
instance_0,1,2,5,14,1,9,4,0,0,21,25,16,2,0
instance_0,7,2,8,14,2,11,1,3,0,64,32,17,19,0
instance_0,8,6,17,1,1,10,1,0,0,52,31,6,4,0
instance_0,7,3,38,7,0,3,1,1,0,44,5,52,12,0
instance_0,1,2,13,5,5,8,3,1,0,70,38,31,3,0
instance_0,4,3,35,7,2,3,1,1,0,37,7,15,3,0
instance_0,2,6,29,14,2,7,3,2,0,86,36,28,16,0
instance_0,2,6,37,11,3,1,0,3,0,14,38,20,0,0
instance_0,8,0,20,13,1,9,3,3,0,24,3,22,31,0
instance_0,6,1,23,8,0,11,3,3,0,50,26,15,32,0
instance_0,5,2,14,1,4,11,0,2,0,39,25,2,18,0
instance_0,4,3,28,7,2,9,1,2,0,44,31,22,28,0
instance_0,4,3,23,8,4,10,1,3,0,37,9,83,33,0
instance_0,4,3,12,14,5,11,5,1,0,89,1,74,10,0
instance_0,1,4,32,5,5,5,4,3,0,27,36,32,30,0
instance_0,1,5,2,10,4,10,3,0,0,57,6,34,10,0
instance_0,4,0,20,7,2,11,1,0,0,66,23,5,3,0
instance_0,2,2,5,11,2,8,3,3,0,11,24,14,13,0
instance_0,2,0,33,9,1,12,3,3,0,46,30,87,6,0
instance_0,2,4,34,11,1,4,2,2,0,49,26,31,37,0
instance_0,6,0,38,5,5,3,4,0,0,42,24,76,8,0
instance_0,2,3,7,6,3,11,0,1,0,79,5,30,19,0
instance_0,6,4,9,12,5,6,3,0,0,87,31,93,24,0
instance_0,6,3,5,10,3,12,4,0,0,46,33,46,23,0
instance_0,1,6,13,5,0,6,3,1,0,44,36,45,35,0
instance_0,8,5,11,7,3,11,1,0,0,90,24,13,4,0
instance_0,3,3,35,5,4,12,4,0,0,25,30,67,21,0
instance_0,4,2,35,14,5,5,0,3,0,70,24,5,15,0
instance_0,7,0,24,11,3,11,3,3,0,22,30,18,21,0
instance_0,1,4,19,12,5,0,3,3,0,68,24,22,35,0
instance_0,2,1,19,12,5,8,0,2,0,82,21,12,3,0
instance_0,2,4,7,11,5,12,1,2,0,37,15,14,27,0
instance_0,7,0,21,2,2,11,0,1,0,62,31,29,14,0
instance_0,7,4,7,7,4,6,3,3,0,39,8,23,28,0
instance_0,3,0,10,12,3,10,2,3,0,58,31,11,27,0
instance_0,2,3,9,9,1,6,2,0,0,8,31,23,28,0
instance_0,6,3,28,5,3,6,4,2,0,76,31,92,32,0
instance_0,4,1,4,14,4,11,4,0,0,36,33,25,31,0
instance_0,3,4,11,10,4,6,1,3,0,52,15,12,8,0
instance_0,6,4,32,7,4,10,3,2,0,52,18,15,8,0
